CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_VOTES
"D K SURESH","Indian National Congress","BANGALORE RURAL",KARNATAKA,809355
"NISITH PRAMANIK","Bharatiya Janata Party",COOCHBEHAR,"WEST BENGAL",749125
"RAJ BABBAR","Indian National Congress",GURGAON,HARYANA,733257
"PROFESSOR M.V RAJEEV GOWDA","Indian National Congress","BANGALORE NORTH",KARNATAKA,726573
"UTTAM BARIK SON OF LATE BIRENDRA BARIK","All India Trinamool Congress",KANTHI,"WEST BENGAL",715431
"PRAHLAD GUNJAL","Indian National Congress",KOTA,RAJASTHAN,708522
"ARUP KANTI DIGAR","Bharatiya Janata Party",ARAMBAGH,"WEST BENGAL",706188
"DEBANGSHU BHATTACHARYA","All India Trinamool Congress",TAMLUK,"WEST BENGAL",687851
"KANHAIYA KUMAR","Indian National Congress","NORTH-EAST DELHI",DELHI,685673
"PORLAL BATHA KHARTE","Indian National Congress",KHARGONE,"MADHYA PRADESH",684845
"NIRMAL CHANDRA ROY","All India Trinamool Congress",JALPAIGURI,"WEST BENGAL",679875
"PANKAJA GOPINATHRAO MUNDE","Bharatiya Janata Party",BEED,MAHARASHTRA,677397
"AGNIMITRA PAUL","Bharatiya Janata Party",MEDINIPUR,"WEST BENGAL",675001
"SUJATA MONDAL","All India Trinamool Congress",BISHNUPUR,"WEST BENGAL",674563
"BHUPESH BAGHEL","Indian National Congress",RAJNANDGAON,CHHATTISGARH,667646
"ANANDSWAMY GADDADEVARMATH","Indian National Congress",HAVERI,KARNATAKA,662025
"M.S. RAKSHA RAMAIAH","Indian National Congress",CHIKKBALLAPUR,KARNATAKA,659159
"M. LAKSHMANA","Indian National Congress",MYSORE,KARNATAKA,656241
"DEVENDRA JHAJHARIA","Bharatiya Janata Party",CHURU,RAJASTHAN,655474
"DR. HIRANMOY CHATTOPADHYAYA","Bharatiya Janata Party",GHATAL,"WEST BENGAL",655122
"DR CHEVIREDDY BHASKAR REDD","Yuvajana Sramika Rythu Congress Party",ONGOLE,"ANDHRA PRADESH",651695
"SHASHI SINGH KORAM","Indian National Congress",SURGUJA,CHHATTISGARH,648378
"ANIL KUMAR POLUBOINA","Yuvajana Sramika Rythu Congress Party",NARSARAOPET,"ANDHRA PRADESH",648267
"ROSELINA TIRKEY","Indian National Congress",KAZIRANGA,ASSAM,648096
"OMKAR SINGH MARKAM","Indian National Congress",MANDLA,"MADHYA PRADESH",647529
"BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS","All India Trinamool Congress",BANGAON,"WEST BENGAL",645812
"MIRA BORTHAKUR GOSWAMI","Indian National Congress",GUWAHATI,ASSAM,643797
"MAHABAL MISHRA","Aam Aadmi Party","WEST DELHI",DELHI,643645
"DR. REKHABEN HITESHBHAI CHAUDHARI","Bharatiya Janata Party",BANASKANTHA,GUJARAT,641477
"PRIYANKA BALAN MEGHWAL","Bharatiya Janata Party",GANGANAGAR,RAJASTHAN,638339
"DEEP BAYAN","Indian National Congress",BARPETA,ASSAM,637762
"DR GADDAM RANJITH REDDY","Indian National Congress",CHEVELLA,TELANGANA,636985
B.N.CHANDRAPPA,"Indian National Congress",CHITRADURGA,KARNATAKA,636769
"B. SREERAMULU","Bharatiya Janata Party",BELLARY,KARNATAKA,631853
"PRAJWAL REVANNA","Janata Dal  (Secular)",HASSAN,KARNATAKA,630339
"MANSOOR ALI KHAN","Indian National Congress","BANGALORE CENTRAL",KARNATAKA,626208
"LOCKET CHATTERJEE","Bharatiya Janata Party",HOOGHLY,"WEST BENGAL",625891
"DR. UMESH G JADHAV","Bharatiya Janata Party",GULBARGA,KARNATAKA,625116
"ANNASAHEB SHANKAR JOLLE","Bharatiya Janata Party",CHIKKODI,KARNATAKA,622627
"K V GOWTHAM","Indian National Congress",KOLAR,KARNATAKA,620093
"PRAKASH CHIK BARAIK","All India Trinamool Congress",ALIPURDUARS,"WEST BENGAL",619867
"VINOD ASOOTI","Indian National Congress",DHARWAD,KARNATAKA,618907
"DR. SHIVKUMAR DAHARIYA","Indian National Congress",JANJGIR-CHAMPA,CHHATTISGARH,618199
"VARA PRASAD RAO VELAGAPALLI","Bharatiya Janata Party",THIRUPATHI,"ANDHRA PRADESH",617659
"DR . BASAVARAJ. K. SHARANAPPA","Bharatiya Janata Party",KOPPAL,KARNATAKA,617154
"ANIL CHOPRA","Indian National Congress","JAIPUR RURAL",RAJASTHAN,616262
"MAHENDER PRATAP SINGH","Indian National Congress",FARIDABAD,HARYANA,615655
PADMARAJ.R.POOJARY,"Indian National Congress","DAKSHINA KANNADA",KARNATAKA,614924
"BANTO KATARIA","Bharatiya Janata Party",AMBALA,HARYANA,614621
"KARAN SINGH UCHIYARDA","Indian National Congress",JODHPUR,RAJASTHAN,614379
"DIGVIJAYA SINGH","Indian National Congress",RAJGARH,"MADHYA PRADESH",612654
"DR. SUBHAS SARKAR","Bharatiya Janata Party",BANKURA,"WEST BENGAL",609035
"TOPON KUMAR GOGOI","Bharatiya Janata Party",JORHAT,ASSAM,607378
"GAYITHRI SIDDESHWARA","Bharatiya Janata Party",DAVANAGERE,KARNATAKA,606965
"SAMYUKTA SHIVANAND PATIL","Indian National Congress",BAGALKOT,KARNATAKA,602640
"PRAVEEN PATHAK","Indian National Congress",GWALIOR,"MADHYA PRADESH",601325
"PATNAM SUNEETHA MAHENDER REDDY","Indian National Congress",MALKAJGIRI,TELANGANA,599567
"SANJAY SADASHIVRAO MANDLIK","Shiv Sena",KOLHAPUR,MAHARASHTRA,599558
"KAUSHAL KISHORE","Bharatiya Janata Party",MOHANLALGANJ,"UTTAR PRADESH",597577
"SANJOG BHIKU WAGHERE PATIL","Shiv Sena (Uddhav Balasaheb Thackrey)",MAVAL,MAHARASHTRA,596217
"DR. SUJAY RADHAKRISHNA VIKHEPATIL","Bharatiya Janata Party",AHMEDNAGAR,MAHARASHTRA,595868
"BIRESH THAKUR","Indian National Congress",KANKER,CHHATTISGARH,595740
"RAJU ALAGUR.","Indian National Congress",BIJAPUR,KARNATAKA,595552
"MUKUT MANI ADHIKARI","All India Trinamool Congress",RANAGHAT,"WEST BENGAL",595497
"VAIBHAV GEHLOT","Indian National Congress",JALORE,RAJASTHAN,595240
"J SHANTHA","Yuvajana Sramika Rythu Congress Party",HINDUPUR,"ANDHRA PRADESH",593107
"NARENDRA PATEL","Indian National Congress",KHANDWA,"MADHYA PRADESH",592708
"PRADEEP YADAV","Indian National Congress",GODDA,JHARKHAND,591327
"RAJA AMARESHWARA NAIK.","Bharatiya Janata Party",RAICHUR,KARNATAKA,591185
"POCHA BRAHMANANDA REDDY","Yuvajana Sramika Rythu Congress Party",NANDYAL,"ANDHRA PRADESH",589156
"KANTILAL BHURIA","Indian National Congress",RATLAM,"MADHYA PRADESH",588631
"PRADEEP JAIN ADITYA","Indian National Congress",JHANSI,"UTTAR PRADESH",587702
"DR HEENA VIJAYKUMAR GAVIT","Bharatiya Janata Party",NANDURBAR,MAHARASHTRA,586878
"RAVINDRA SINGH BHATI",Independent,BARMER,RAJASTHAN,586500
"SUMEDHANAND SARASWATI","Bharatiya Janata Party",SIKAR,RAJASTHAN,586404
"LALIT YADAV","Indian National Congress",ALWAR,RAJASTHAN,583710
"MRINAL R HEBBALKAR","Indian National Congress",BELGAUM,KARNATAKA,583592
"DILIP GHOSH","Bharatiya Janata Party",BARDHAMAN-DURGAPUR,"WEST BENGAL",582686
"ANNU TANDON","Samajwadi Party",UNNAO,"UTTAR PRADESH",580315
SHAHNAWAZ,"Rashtriya Janata Dal",ARARIA,BIHAR,580052
"BHAMRE SUBHASH RAMRAO","Bharatiya Janata Party",DHULE,MAHARASHTRA,580035
"MALAGUNDLA SANKAR NARAYANA","Yuvajana Sramika Rythu Congress Party",ANANTHAPUR,"ANDHRA PRADESH",579690
"SWAPAN MAJUMDER","Bharatiya Janata Party",BARASAT,"WEST BENGAL",577821
"SURESH BORAH","Bharatiya Janata Party",NAGAON,ASSAM,576619
"RADHESHYAM MUVEL","Indian National Congress",DHAR,"MADHYA PRADESH",575784
"UDIT RAJ","Indian National Congress","NORTH-WEST DELHI",DELHI,575634
"SUNETRA AJITDADA PAWAR","Nationalist Congress Party",BARAMATI,MAHARASHTRA,573979
"MAHENDRAJEETSINGH MALVIYA","Bharatiya Janata Party",BANSWARA,RAJASTHAN,573777
"AMRITA ROY","Bharatiya Janata Party",KRISHNANAGAR,"WEST BENGAL",572084
"KULDEEP KUMAR (MONU)","Aam Aadmi Party","EAST DELHI",DELHI,571156
"DR. PRANAT TUDU","Bharatiya Janata Party",JHARGRAM,"WEST BENGAL",569430
"NALLARI KIRAN KUMAR REDDY","Bharatiya Janata Party",RAJAMPET,"ANDHRA PRADESH",568773
"SAHI RAM","Aam Aadmi Party","SOUTH DELHI",DELHI,568499
"DR. MENKA DEVI SINGH","Indian National Congress",RAIGARH,CHHATTISGARH,567884
"ABDHESH KUMAR ROY","Communist Party of India",BEGUSARAI,BIHAR,567851
"VENKATARAMANE GOWDA (STAR CHANDRU)","Indian National Congress",MANDYA,KARNATAKA,567261
"BIPLAB MITRA","All India Trinamool Congress",BALURGHAT,"WEST BENGAL",564610
"KARUMURI SUNIL KUMAR","Yuvajana Sramika Rythu Congress Party",ELURU,"ANDHRA PRADESH",564494
BALARAJ.S,"Bharatiya Janata Party",CHAMARAJANAGAR,KARNATAKA,562965
"SHANTIRAM MAHATO","All India Trinamool Congress",PURULIA,"WEST BENGAL",561410
"DEVENDRA YADAV","Indian National Congress",BILASPUR,CHHATTISGARH,560379
"CHANDANJI TALAJI THAKOR","Indian National Congress",PATAN,GUJARAT,560071
"ASIM KUMAR SARKAR","Bharatiya Janata Party","BARDHAMAN PURBA","WEST BENGAL",559730
"SUKHBIR SINGH JAUNAPURIA","Bharatiya Janata Party","TONK-SAWAI MADHOPUR",RAJASTHAN,558814
"TAMRADHWAJ SAHU","Indian National Congress",MAHASAMUND,CHHATTISGARH,558203
"ADHALRAO SHIVAJI DATTATREY","Nationalist Congress Party",SHIRUR,MAHARASHTRA,557741
"REDDEPPA.N .","Yuvajana Sramika Rythu Congress Party",CHITTOOR,"ANDHRA PRADESH",557592
"VIRENDRA CHAUDHARY","Indian National Congress",MAHARAJGANJ,"UTTAR PRADESH",555859
"PRATAP SINGH KHACHARIYAWAS","Indian National Congress",JAIPUR,RAJASTHAN,555083
"JYOTI MIRDHA","Bharatiya Janata Party",NAGAUR,RAJASTHAN,554730
"ASHOK PURKAIT","Bharatiya Janata Party",MATHURAPUR,"WEST BENGAL",554674
"ANANTKUMAR HASMUKHBHAI PATEL","Indian National Congress",VALSAD,GUJARAT,553522
"RAMAN BHALLA","Indian National Congress",JAMMU,"JAMMU & KASHMIR",552090
"SUNIL BABURAO MENDHE","Bharatiya Janata Party","BHANDARA GONDIYA",MAHARASHTRA,550033
"ANSHUMAN MOHANTY","Biju Janata Dal",KENDRAPARA,ODISHA,549169
"DR. RAJASHREE MALLICK","Biju Janata Dal",JAGATSINGHPUR,ODISHA,548397
"B Y RAMAIAH","Yuvajana Sramika Rythu Congress Party",KURNOOLU,"ANDHRA PRADESH",547616
"RAO DAN SINGH","Indian National Congress",BHIWANI-MAHENDRAGARH,HARYANA,547154
"SUDHAKAR TUKARAM SHRANGARE","Bharatiya Janata Party",LATUR,MAHARASHTRA,547140
"SURENDRAJEET SINGH AHLUWALIA","Bharatiya Janata Party",ASANSOL,"WEST BENGAL",546081
"RAM VITTHAL SATPUTE","Bharatiya Janata Party",SOLAPUR,MAHARASHTRA,546028
"S.P. MUDDAHANUMEGOWDA","Indian National Congress",TUMKUR,KARNATAKA,545352
"YASHASWINI SAHAY","Indian National Congress",RANCHI,JHARKHAND,544220
"SANTOSH KUMAR","Janata Dal  (United)",PURNIA,BIHAR,543709
"CHADIPIRALLA BHUPESH SUBBARAMI REDDY","Telugu Desam",KADAPA,"ANDHRA PRADESH",542448
"MADHAB RAJBANGSHI","Indian National Congress",DARRANG-UDALGURI,ASSAM,539375
"SHASHIKANT JAYVANTRAO SHINDE","Nationalist Congress Party – Sharadchandra Pawar",SATARA,MAHARASHTRA,538363
"SAMRAT ASHOK SINGH SARASWAR","Indian National Congress",BALAGHAT,"MADHYA PRADESH",538148
"BHAGWANTH KHUBA","Bharatiya Janata Party",BIDAR,KARNATAKA,537442
"JYOTSNA GOND","Samajwadi Party",SHAHJAHANPUR,"UTTAR PRADESH",537339
"RAJU DEONATH PARVE","Shiv Sena",RAMTEK,MAHARASHTRA,536257
"SUNITA VERMA","Samajwadi Party",MEERUT,"UTTAR PRADESH",535884
"GEETHA SHIVARAJKUMAR","Indian National Congress",SHIMOGA,KARNATAKA,535006
"SHUBHKARAN CHOUDHARY","Bharatiya Janata Party",JHUNJHUNU,RAJASTHAN,534933
"CHAUDHARY SIDDHARTH AMARSINH","Indian National Congress",BARDOLI,GUJARAT,533697
"SARMISTHA SETHI","Biju Janata Dal",JAJPUR,ODISHA,532652
"PRAVEEN SINGH ARON","Samajwadi Party",BAREILLY,"UTTAR PRADESH",532323
"KUNWAR SARVESH KUMAR","Bharatiya Janata Party",MORADABAD,"UTTAR PRADESH",531601
"NAKUL KAMALNATH","Indian National Congress",CHHINDWARA,"MADHYA PRADESH",531120
"PIYA SAHA","Bharatiya Janata Party",BOLPUR,"WEST BENGAL",528380
"RAM KRIPAL YADAV","Bharatiya Janata Party",PATLIPUTRA,BIHAR,528109
"RAMSWAROOP KOLI","Bharatiya Janata Party",BHARATPUR,RAJASTHAN,527907
"SAROJ PANDEY","Bharatiya Janata Party",KORBA,CHHATTISGARH,526899
"MOHAN LAL BADOLI","Bharatiya Janata Party",SONIPAT,HARYANA,526866
"HAFIZ RASHID AHMED CHOUDHURY","Indian National Congress",KARIMGANJ,ASSAM,526733
"SITA MURMU","Bharatiya Janata Party",DUMKA,JHARKHAND,524843
"ARUP MOHAN PATNAIK","Biju Janata Dal",PURI,ODISHA,524621
"AJAY KUMAR","Bharatiya Janata Party",KHERI,"UTTAR PRADESH",523036
"AMIT CHAVDA","Indian National Congress",ANAND,GUJARAT,522545
"CHAITARBHAI DAMJIBHAI VASAVA","Aam Aadmi Party",BHARUCH,GUJARAT,522461
"ABINASH SAMAL","Biju Janata Dal",DHENKANAL,ODISHA,522154
"CHAUDHARI TUSHAR AMARSINH","Indian National Congress",SABARKANTHA,GUJARAT,521636
"DEBTANU BHATTACHARYA","Bharatiya Janata Party",BIRBHUM,"WEST BENGAL",520311
"VENUMBAKA VIJAYASAI REDDY","Yuvajana Sramika Rythu Congress Party",NELLORE,"ANDHRA PRADESH",520300
"KILARI VENKATA ROSAIAH","Yuvajana Sramika Rythu Congress Party",GUNTUR,"ANDHRA PRADESH",520253
"RAJENDRA SAHU","Indian National Congress",DURG,CHHATTISGARH,518271
"MD SALIM","Communist Party of India  (Marxist)",MURSHIDABAD,"WEST BENGAL",518227
"VIKAS THAKRE","Indian National Congress",NAGPUR,MAHARASHTRA,517424
"DULAL CHANDRA GOSWAMI","Janata Dal  (United)",KATIHAR,BIHAR,517229
"RAJAN BABURAO VICHARE","Shiv Sena (Uddhav Balasaheb Thackrey)",THANE,MAHARASHTRA,517220
"DOLLY SHARMA","Indian National Congress",GHAZIABAD,"UTTAR PRADESH",517205
"DR SUSHIL GUPTA","Aam Aadmi Party",KURUKSHETRA,HARYANA,513154
"KESINENI SRINIVAS  (NANI)","Yuvajana Sramika Rythu Congress Party",VIJAYAWADA,"ANDHRA PRADESH",512069
"SANGEETA BENIWAL","Indian National Congress",PALI,RAJASTHAN,512038
"GOVINDRAM MEGHWAL","Indian National Congress",BIKANER,RAJASTHAN,511026
"NANDIGAM SURESH BABU","Yuvajana Sramika Rythu Congress Party",BAPATLA,"ANDHRA PRADESH",509462
"KUMARAGURU R","All India Anna Dravida Munnetra Kazhagam",KALLAKURICHI,"TAMIL NADU",507805
"RANJIT SINGH","Bharatiya Janata Party",HISAR,HARYANA,507043
"SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",HATKANANGALE,MAHARASHTRA,506764
"DIVYANSHU BUDHIRAJA","Indian National Congress",KARNAL,HARYANA,506708
"NAVNEET RAVI RANA","Bharatiya Janata Party",AMRAVATI,MAHARASHTRA,506540
"CHALLA VAMSHI CHAND REDDY","Indian National Congress",MAHBUBNAGAR,TELANGANA,506247
"ARUNUDAY PAULCHOWDHURY","Bharatiya Janata Party",ULUBERIA,"WEST BENGAL",505949
"RAJRANI RAWAT","Bharatiya Janata Party",BARABANKI,"UTTAR PRADESH",504223
"RAJENDRA RADHAKISHAN MALVIYA","Indian National Congress",DEWAS,"MADHYA PRADESH",503716
"RANJEETSINGH HINDURAO NAIK NIMBALKAR","Bharatiya Janata Party",MADHA,MAHARASHTRA,501376
"SIMHADRI CHANDRA SEKHAR RAO","Yuvajana Sramika Rythu Congress Party",MACHILIPATNAM,"ANDHRA PRADESH",501260
"GOPAL LAMA","All India Trinamool Congress",DARJEELING,"WEST BENGAL",500806
"RAJSHRITAI HEMANT PATIL (MAHALLE)","Shiv Sena","YAVATMAL- WASHIM",MAHARASHTRA,500334
"CHALAMALASETTY SUNIL","Yuvajana Sramika Rythu Congress Party",KAKINADA,"ANDHRA PRADESH",500208
"LALLU SINGH","Bharatiya Janata Party",FAIZABAD,"UTTAR PRADESH",499722
"KABIR SHANKAR BOSE","Bharatiya Janata Party",SRERAMPUR,"WEST BENGAL",499140
"ANJANA UDAILAL","Indian National Congress",CHITTORGARH,RAJASTHAN,498325
"DANVE RAOSAHEB DADARAO","Bharatiya Janata Party",JALNA,MAHARASHTRA,497939
"VIGNESH P","All India Anna Dravida Munnetra Kazhagam",SALEM,"TAMIL NADU",495728
"URMILA JAIN “BHAYA”","Indian National Congress",JHALAWAR-BARAN,RAJASTHAN,494387
"SHIVESH KUMAR","Bharatiya Janata Party",SASARAM,BIHAR,493847
"BELLANA CHANDRASEKHAR","Yuvajana Sramika Rythu Congress Party",VIZIANAGARAM,"ANDHRA PRADESH",493762
"KALYANI KRISHNA","All India Trinamool Congress",RAIGANJ,"WEST BENGAL",492700
"VIRENDRA RAWAT","Indian National Congress",HARIDWAR,UTTARAKHAND,489752
"KUNWAR PUSHPENDRA SINGH CHANDEL","Bharatiya Janata Party",HAMIRPUR,"UTTAR PRADESH",488054
"DR. GUDURI SRINIVAS","Yuvajana Sramika Rythu Congress Party",RAJAHMUNDRY,"ANDHRA PRADESH",487376
"BIJENDRA SINGH","Samajwadi Party",ALIGARH,"UTTAR PRADESH",486187
"DR. NAVAL KISHOR SHAKYA","Samajwadi Party",FARRUKHABAD,"UTTAR PRADESH",485285
"SURENDRA SINGH BHOI","Biju Janata Dal",BOLANGIR,ODISHA,485080
"RAGHAV LAKHANPAL","Bharatiya Janata Party",SAHARANPUR,"UTTAR PRADESH",483425
"JEEVANREDDY THATIPARTHI","Indian National Congress",NIZAMABAD,TELANGANA,483077
"KAJAL NISHAD","Samajwadi Party",GORAKHPUR,"UTTAR PRADESH",482308
"B. B. PATIL","Bharatiya Janata Party",ZAHIRABAD,TELANGANA,482230
"MANJULATA MANDAL","Biju Janata Dal",BHADRAK,ODISHA,481775
"MAMTA BHUIYAN","Rashtriya Janata Dal",PALAMAU,JHARKHAND,481555
"ADVOCATE ARUN SHRIVASTAVA","Indian National Congress",BHOPAL,"MADHYA PRADESH",479610
"RAVIDAS MEHROTRA","Samajwadi Party",LUCKNOW,"UTTAR PRADESH",477550
"ATHRAM SUGUNA","Indian National Congress",ADILABAD,TELANGANA,477516
"VIJAY KUMAR SHUKLA","Rashtriya Janata Dal",VAISHALI,BIHAR,477409
"MANMATH KUMAR ROUTRAY","Biju Janata Dal",BHUBANESWAR,ODISHA,477367
"DHANURJAYA SIDU","Biju Janata Dal",KEONJHAR,ODISHA,476881
"TARACHAND MEENA","Indian National Congress",UDAIPUR,RAJASTHAN,476678
"DHARMENDRA KASHYAP","Bharatiya Janata Party",AONLA,"UTTAR PRADESH",476546
"BHANU PRATAP SINGH VERMA","Bharatiya Janata Party",JALAUN,"UTTAR PRADESH",476282
"ASHOK  MAHADEORAO NETE","Bharatiya Janata Party",GADCHIROLI,MAHARASHTRA,476096
"VIKAS UPADHYAY","Indian National Congress",RAIPUR,CHHATTISGARH,475066
"SANTRUPT MISRA","Biju Janata Dal",CUTTACK,ODISHA,474524
"SOWMYA REDDY","Indian National Congress","BANGALORE SOUTH",KARNATAKA,473747
"RAJARAM PAL","Samajwadi Party",AKBARPUR,"UTTAR PRADESH",473078
"K. JAYAPRAKASH HEGDE","Indian National Congress","UDUPI CHIKMAGALUR",KARNATAKA,473059
"PRANAB PRAKASH DAS","Biju Janata Dal",SAMBALPUR,ODISHA,472326
"PHOOL SINGH BARAIYA","Indian National Congress",BHIND,"MADHYA PRADESH",472225
"SANJAY (KAKA) PATIL","Bharatiya Janata Party",SANGLI,MAHARASHTRA,471613
"SUBRAT PATHAK","Bharatiya Janata Party",KANNAUJ,"UTTAR PRADESH",471370
"REKHA PATRA","Bharatiya Janata Party",BASIRHAT,"WEST BENGAL",470215
"AKHILESH PRATAP SINGH","Indian National Congress",DEORIA,"UTTAR PRADESH",469699
"R. K. SINGH","Bharatiya Janata Party",ARRAH,BIHAR,469574
"CHIKHALIKAR PRATAPRAO GOVINDRAO","Bharatiya Janata Party",NANDED,MAHARASHTRA,469452
"KUMARI ANITA","Rashtriya Janata Dal",MUNGER,BIHAR,469276
"RAMU TEKAM","Indian National Congress",BETUL,"MADHYA PRADESH",468475
"JANKAR MAHADEV JAGANNATH","Rashtriya Samaj Paksha",PARBHANI,MAHARASHTRA,467282
"NIRANJAN JYOTI","Bharatiya Janata Party",FATEHPUR,"UTTAR PRADESH",467129
"DURVIJAY SINGH SHAKYA","Bharatiya Janata Party",BADAUN,"UTTAR PRADESH",466864
"SAMIR KUMAR MOHANTY","Jharkhand Mukti Morcha",JAMSHEDPUR,JHARKHAND,466392
"DA KUMAR CHANDRADEEP","Rashtriya Janata Dal",MADHEPURA,BIHAR,466115
"BUDI MUTYALA NAIDU","Yuvajana Sramika Rythu Congress Party",ANAKAPALLE,"ANDHRA PRADESH",465539
"ASHOK TANWAR","Bharatiya Janata Party",SIRSA,HARYANA,465326
"PARINITA MISHRA","Biju Janata Dal",BARGARH,ODISHA,464692
"ARJUN RAY","Rashtriya Janata Dal",SITAMARHI,BIHAR,464363
"DR. BHARATI PRAVIN PAWAR","Bharatiya Janata Party",DINDORI,MAHARASHTRA,464140
"NEETU SATYAPAL SINGH SIKARWAR","Indian National Congress",MORENA,"MADHYA PRADESH",462947
"VIKRAMADITYA SINGH","Indian National Congress",MANDI,"HIMACHAL PRADESH",462267
"UDAY SHANKAR HAZARIKA","Indian National Congress",LAKHIMPUR,ASSAM,461865
"DHANGEKAR RAVINDRA HEMRAJ","Indian National Congress",PUNE,MAHARASHTRA,461690
"AJAY RAI","Indian National Congress",VARANASI,"UTTAR PRADESH",460457
"MAHESH PARMAR","Indian National Congress",UJJAIN,"MADHYA PRADESH",460244
"DR. ANIRBAN GANGULY","Bharatiya Janata Party",JADAVPUR,"WEST BENGAL",459698
"MOHAMMED BADRUDDIN AJMAL","All India United Democratic Front",DHUBRI,ASSAM,459409
"USHA VERMA","Samajwadi Party",HARDOI,"UTTAR PRADESH",458942
"PRADEEP KUMAR","Bharatiya Janata Party",KAIRANA,"UTTAR PRADESH",458897
"ROHINI ACHARYA","Rashtriya Janata Dal",SARAN,BIHAR,458091
"MUNGANTIWAR SUDHIR SACCHIDANAND","Bharatiya Janata Party",CHANDRAPUR,MAHARASHTRA,458004
"SILBHADRA DATTA","Bharatiya Janata Party","DUM DUM","WEST BENGAL",457919
"ANUPAMA SINGH","Indian National Congress",DHANBAD,JHARKHAND,457589
"DR RATHIN CHAKRAVARTY","Bharatiya Janata Party",HOWRAH,"WEST BENGAL",457051
"ALOK KUMAR MEHTA","Rashtriya Janata Dal",UJIARPUR,BIHAR,455863
"ARJUN SINGH","Bharatiya Janata Party",BARRACKPUR,"WEST BENGAL",455793
"RAPAKA VARAPRASADA RAO","Yuvajana Sramika Rythu Congress Party",AMALAPURAM,"ANDHRA PRADESH",454785
"GODSE HEMANT TUKARAM","Shiv Sena",NASHIK,MAHARASHTRA,454728
"RAMESH CHANDRA","Samajwadi Party",BAHARAICH,"UTTAR PRADESH",454575
"DR RAJESH KUMAR","Vikassheel Insaan Party","PURVI CHAMPARAN",BIHAR,453906
"VISHWADEEP SINGH","Bharatiya Janata Party",FIROZABAD,"UTTAR PRADESH",453725
"C P JOSHI","Indian National Congress",BHILWARA,RAJASTHAN,453034
"DR. MAHENDRA NATH  PANDEY","Bharatiya Janata Party",CHANDAULI,"UTTAR PRADESH",452911
"AMOL GAJANAN KIRTIKAR","Shiv Sena (Uddhav Balasaheb Thackrey)","MUMBAI NORTH WEST",MAHARASHTRA,452596
"RAMDAS CHANDRABHAN TADAS","Bharatiya Janata Party",WARDHA,MAHARASHTRA,451458
"ANNAMALAI K","Bharatiya Janata Party",COIMBATORE,"TAMIL NADU",450132
"PARMESHWAR LAL SAINI","Bharatiya Janata Party",SAMBHAL,"UTTAR PRADESH",449667
"PRASUN BANERJEE","All India Trinamool Congress","MALDAHA UTTAR","WEST BENGAL",449315
"JOTVA HIRABHAI ARJANBHAI","Indian National Congress",JUNAGADH,GUJARAT,448555
"AMAR NATH SINGH MAURYA","Samajwadi Party",PHULPUR,"UTTAR PRADESH",448268
"KUNWAR DANISH ALI","Indian National Congress",AMROHA,"UTTAR PRADESH",447836
"RAJVEER SINGH (RAJU BHAIYA)","Bharatiya Janata Party",ETAH,"UTTAR PRADESH",447756
"RITU JAISWAL","Rashtriya Janata Dal",SHEOHAR,BIHAR,447469
"CH LAL SINGH","Indian National Congress",UDHAMPUR,"JAMMU & KASHMIR",446703
"SANJEEV KUMAR BALYAN","Bharatiya Janata Party",MUZAFFARNAGAR,"UTTAR PRADESH",446049
"SHIV CHANDRA RAM","Rashtriya Janata Dal",HAJIPUR,BIHAR,445613
