CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_VOTES
"DILIP SINGH GURJAR","Indian National Congress",MANDSOUR,"MADHYA PRADESH",445106
"DR. ANJALI NIMBALKAR","Indian National Congress","UTTARA KANNADA",KARNATAKA,445067
"SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI)","Bharatiya Janata Party","MALDAHA DAKSHIN","WEST BENGAL",444027
"MADAN MOHAN TIWARI","Indian National Congress","PASCHIM CHAMPARAN",BIHAR,443853
"K K SHAILAJA TEACHER","Communist Party of India  (Marxist)",VADAKARA,KERALA,443022
"BHAGWAT SARAN GANGWAR","Samajwadi Party",PILIBHIT,"UTTAR PRADESH",442223
"SANGITA RAJVANSHI","Samajwadi Party",MISRIKH,"UTTAR PRADESH",441610
"RAJESH VERMA","Bharatiya Janata Party",SITAPUR,"UTTAR PRADESH",441497
"ADHIR RANJAN CHOWDHURY","Indian National Congress",BAHARAMPUR,"WEST BENGAL",439494
"REKHA VERMA","Bharatiya Janata Party",DHAURAHRA,"UTTAR PRADESH",439294
"DR. ARVIND KUMAR SHARMA","Bharatiya Janata Party",ROHTAK,HARYANA,438280
"PRAKASH JOSHI","Indian National Congress","NAINITAL-UDHAMSINGH NAGAR",UTTARAKHAND,438123
"KAMPA BORGOYARI","Bodoland Peoples Front",KOKRAJHAR,ASSAM,437412
"TALA MARANDI","Bharatiya Janata Party",RAJMAHAL,JHARKHAND,435107
"AJAY PRATAP SINGH URF PINTU SAITHWAR","Samajwadi Party","KUSHI NAGAR","UTTAR PRADESH",434555
"ANSHUL AVIJIT","Indian National Congress","PATNA SAHIB",BIHAR,434424
"SAKET MISRA","Bharatiya Janata Party",SHRAWASTI,"UTTAR PRADESH",434382
"RAMESH CHAND BIND","Samajwadi Party",MIRZAPUR,"UTTAR PRADESH",433821
"KAPIL MORESHWAR PATIL","Bharatiya Janata Party",BHIWANDI,MAHARASHTRA,433343
"TAMILMANI S","All India Anna Dravida Munnetra Kazhagam",NAMAKKAL,"TAMIL NADU",432924
"DR RAM SHANKAR KATHERIA","Bharatiya Janata Party",ETAWAH,"UTTAR PRADESH",432328
"NEELAM MADHU","Indian National Congress",MEDAK,TELANGANA,432078
"AJEET SHARMA","Indian National Congress",BHAGALPUR,BIHAR,431163
"INDU DEVI","Bharatiya Janata Party",KARAULI-DHOLPUR,RAJASTHAN,431066
"UMABALA GUDURI","Yuvajana Sramika Rythu Congress Party",NARSAPURAM,"ANDHRA PRADESH",430541
"ADV UJWAL NIKAM","Bharatiya Janata Party","MUMBAI NORTH CENTRAL",MAHARASHTRA,429031
"Vinod Sultanpuri","Indian National Congress",SHIMLA,"HIMACHAL PRADESH",428297
"DEBASREE CHAUDHURI","Bharatiya Janata Party","KOLKATA DAKSHIN","WEST BENGAL",428043
"SHREYA VERMA","Samajwadi Party",GONDA,"UTTAR PRADESH",428034
"MURTOJA HOSSAIN BOKUL","Indian National Congress",JANGIPUR,"WEST BENGAL",427790
"JAI PRAKASH AGARWAL","Indian National Congress","CHANDNI CHOWK",DELHI,427171
"AAKASH KUMAR SINGH","Indian National Congress",MAHARAJGANJ,BIHAR,426882
"TILAK PERADA","Yuvajana Sramika Rythu Congress Party",SRIKAKULAM,"ANDHRA PRADESH",426427
"KOTHAPALLI GEETHA","Bharatiya Janata Party",ARAKU,"ANDHRA PRADESH",426425
"LOKHANDE SADASHIV KISAN","Shiv Sena",SHIRDI,MAHARASHTRA,426371
"HARISH CHANDRA ALIAS HARISH DWIVEDI","Bharatiya Janata Party",BASTI,"UTTAR PRADESH",426011
"ANANT GEETE","Shiv Sena (Uddhav Balasaheb Thackrey)",RAIGAD,MAHARASHTRA,425568
"SADAL PRASAD","Indian National Congress",BANSGAON,"UTTAR PRADESH",425543
"CHANDRAHAS CHAUPAL","Rashtriya Janata Dal",SUPAUL,BIHAR,425235
"DEEPAK YADAV","Rashtriya Janata Dal","VALMIKI NAGAR",BIHAR,424747
"SATPAL RAIZADA","Indian National Congress",HAMIRPUR,"HIMACHAL PRADESH",424711
"ASHOK KANDARY","Bharatiya Janata Party",JOYNAGAR,"WEST BENGAL",424093
"NEERAJ SHEKHAR","Bharatiya Janata Party",BALLIA,"UTTAR PRADESH",423684
"DANAM NAGENDER","Indian National Congress",SECUNDERABAD,TELANGANA,423068
"KARAN BALASAHEB PATIL - PAWAR","Shiv Sena (Uddhav Balasaheb Thackrey)",JALGAON,MAHARASHTRA,422834
"BHAGAT RAM","Samajwadi Party",KAISERGANJ,"UTTAR PRADESH",422420
"ALOK MISRA","Indian National Congress",KANPUR,"UTTAR PRADESH",422087
"MIHIR CHANDRAKANT KOTECHA","Bharatiya Janata Party","MUMBAI NORTH EAST",MAHARASHTRA,421076
"BHISHMA SHANKAR ALIAS KUSHAL TIWARI","Samajwadi Party",DOMARIYAGANJ,"UTTAR PRADESH",420575
"ARCHANA RANAJAGJITSINH PATIL","Nationalist Congress Party",OSMANABAD,MAHARASHTRA,418906
"BHARTI BHARAT KAMDI","Shiv Sena (Uddhav Balasaheb Thackrey)",PALGHAR,MAHARASHTRA,417938
"RAMCHANDRA CHOUDHARY","Indian National Congress",AJMER,RAJASTHAN,417471
"LEKHASRI SAMANTSINGHAR","Biju Janata Dal",BALASORE,ODISHA,416709
"ABHAY KASHINATH PATIL","Indian National Congress",AKOLA,MAHARASHTRA,416404
"LALITESHPATI TRIPATHI","All India Trinamool Congress",BHADOHI,"UTTAR PRADESH",415910
"BHOLANATH (B.P. SAROJ)","Bharatiya Janata Party",MACHHLISHAHR,"UTTAR PRADESH",415442
"PARS NATH RAI","Bharatiya Janata Party",GHAZIPUR,"UTTAR PRADESH",415051
"VINOD KUMAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",KODARMA,JHARKHAND,414643
"LURINJYOTI GOGOI","Assam Jatiya Parishad",DIBRUGARH,ASSAM,414441
"PREMLAL GANJU","Indian National Congress",SONITPUR,ASSAM,414380
"SOWMIYA ANBUMANI","Pattali Makkal Katchi",DHARMAPURI,"TAMIL NADU",411367
"LAMBODAR NIAL","Biju Janata Dal",KALAHANDI,ODISHA,410490
"KRIPASHANKAR SINGH","Bharatiya Janata Party",JAUNPUR,"UTTAR PRADESH",409795
"M.V. JAYARAJAN","Communist Party of India  (Marxist)",KANNUR,KERALA,409542
"KANHAIYA LAL MEENA","Bharatiya Janata Party",DAUSA,RAJASTHAN,408926
"MITHILESH TIWARI","Bharatiya Janata Party",BUXAR,BIHAR,408254
"RUTVIKBHAI LAVJIBHAI MAKWANA","Indian National Congress",SURENDRANAGAR,GUJARAT,408132
"RITESH PANDEY","Bharatiya Janata Party","AMBEDKAR NAGAR","UTTAR PRADESH",407712
"DR. BOORA NARSAIAH GOUD","Bharatiya Janata Party",BHONGIR,TELANGANA,406973
"PRAVIN KUMAR NISHAD","Bharatiya Janata Party","SANT KABIR NAGAR","UTTAR PRADESH",406525
"BHAGYARAJ. J","All India Anna Dravida Munnetra Kazhagam",VILUPPURAM,"TAMIL NADU",406330
"VINOD KUMAR SONKAR","Bharatiya Janata Party",KAUSHAMBI,"UTTAR PRADESH",405843
"NEERAJ TRIPATHI","Bharatiya Janata Party",ALLAHABAD,"UTTAR PRADESH",403350
"JHANSI LAKSHMI. BOTCHA.","Yuvajana Sramika Rythu Congress Party",VISAKHAPATNAM,"ANDHRA PRADESH",403220
"KAWASI LAKHMA","Indian National Congress",BASTAR,CHHATTISGARH,403153
"JAI PRAKASH NARAYAN YADAV","Rashtriya Janata Dal",BANKA,BIHAR,402834
"RAMNATH SINGH SIKARWAR","Indian National Congress","FATEHPUR SIKRI","UTTAR PRADESH",402252
"RAVINDAR KUSHAWAHA","Bharatiya Janata Party",SALEMPUR,"UTTAR PRADESH",401899
"CHANDRAHASAN M","All India Anna Dravida Munnetra Kazhagam",CHIDAMBARAM,"TAMIL NADU",401530
"MD ALI ASHRAF FATMI","Rashtriya Janata Dal",MADHUBANI,BIHAR,401483
"MANEKA SANJAY GANDHI","Bharatiya Janata Party",SULTANPUR,"UTTAR PRADESH",401156
"VINAYAK BHAURAO RAUT","Shiv Sena (Uddhav Balasaheb Thackrey)","RATNAGIRI- SINDHUDURG",MAHARASHTRA,400656
"SUKHRAMBHAI HARIYABHAI RATHWA","Indian National Congress","CHHOTA UDAIPUR",GUJARAT,397812
"ARCHANA KUMARI","Rashtriya Janata Dal",JAMUI,BIHAR,396564
"ACHYUTANANDA SAMANTA","Biju Janata Dal",KANDHAMAL,ODISHA,395044
"RANJITA SAHU","Biju Janata Dal",ASKA,ODISHA,394252
"GHANSHYAM SINGH LODHI","Bharatiya Janata Party",RAMPUR,"UTTAR PRADESH",394069
"PRADEEP KUMAR MAJHI","Biju Janata Dal",NABARANGPUR,ODISHA,393860
"KUMAR SARVJEET","Rashtriya Janata Dal",GAYA,BIHAR,393148
"SUNNY HAZARI","Indian National Congress",SAMASTIPUR,BIHAR,392535
"NITESH PARBATBHAI LALAN (MATANG)","Indian National Congress",KACHCHH,GUJARAT,390792
"DR. SANDEEP SAURAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",NALANDA,BIHAR,390308
"M.V BALAKRISHNAN MASTER","Communist Party of India  (Marxist)",KASARAGOD,KERALA,390010
"DR. DAMODAR GURJAR","Indian National Congress",RAJSAMAND,RAJASTHAN,388980
"LALIT KUMAR YADAV","Rashtriya Janata Dal",DARBHANGA,BIHAR,388474
"SURYA KANTA SARKAR","Indian National Congress",SILCHAR,ASSAM,388094
"KALUSINH DABHI","Indian National Congress",KHEDA,GUJARAT,386677
"SUSHIL KUMAR SINGH","Bharatiya Janata Party",AURANGABAD,BIHAR,386456
"AJAY NISHAD","Indian National Congress",MUZAFFARPUR,BIHAR,384822
"PREM NATH CHANCHAL ALIAS CHANCHAL PASWAN","Vikassheel Insaan Party",GOPALGANJ,BIHAR,384686
"BABURAO KADAM KOHALIKAR","Shiv Sena",HINGOLI,MAHARASHTRA,383933
"RAMYA HARIDAS","Indian National Congress",ALATHUR,KERALA,383336
"YADVENDRA RAO DESHRAJ SINGH","Indian National Congress",GUNA,"MADHYA PRADESH",382373
"ADVOCATE J. P. MARAVIYA","Indian National Congress",JAMNAGAR,GUJARAT,382041
"ANAND SHARMA","Indian National Congress",KANGRA,"HIMACHAL PRADESH",380898
"VIJAYAPRABHAKARAN V","Desiya Murpokku Dravida Kazhagam",VIRUDHUNAGAR,"TAMIL NADU",380877
"VAISHALI DAREKAR - RANE","Shiv Sena (Uddhav Balasaheb Thackrey)",KALYAN,MAHARASHTRA,380492
"SANJAY SHARMA SANJU BHAIYA","Indian National Congress",HOSHANGABAD,"MADHYA PRADESH",380451
"JAI PRAKASH BHAI PATEL","Indian National Congress",HAZARIBAGH,JHARKHAND,377927
"SANJAY KUMAR","Communist Party of India  (Marxist)",KHAGARIA,BIHAR,377526
"KAMLESHWAR INDRAJIT KUMAR","Indian National Congress",SIDHI,"MADHYA PRADESH",377143
"JAYVEER SINGH","Bharatiya Janata Party",MAINPURI,"UTTAR PRADESH",376887
"SANGAM LAL GUPTA","Bharatiya Janata Party",PRATAPGARH,"UTTAR PRADESH",375726
"SOMNATH BHARTI","Aam Aadmi Party","NEW DELHI",DELHI,374815
"DABBU SIDDHARTH SUKHLAL KUSHWAHA","Indian National Congress",SATNA,"MADHYA PRADESH",374779
"ELAMARAM KAREEM","Communist Party of India  (Marxist)",KOZHIKODE,KERALA,374245
"DHANANI PARESH","Indian National Congress",RAJKOT,GUJARAT,373724
"SMRITI IRANI","Bharatiya Janata Party",AMETHI,"UTTAR PRADESH",372032
"BHARATH  PRASAD POTHUGANTI","Bharatiya Janata Party",NAGARKURNOOL,TELANGANA,370658
"MATHURA PRASAD MAHATO","Jharkhand Mukti Morcha",GIRIDIH,JHARKHAND,370259
"THANGAVEL. L","All India Anna Dravida Munnetra Kazhagam",KARUR,"TAMIL NADU",368090
DEEPAK,"Samajwadi Party",BIJNOR,"UTTAR PRADESH",366985
"SUDAM MARNDI","Biju Janata Dal",MAYURBHANJ,ODISHA,366637
"RADHAKRISHNAN P","Bharatiya Janata Party",KANNIYAKUMARI,"TAMIL NADU",366341
"RAJASEKAR. E","All India Anna Dravida Munnetra Kazhagam",KANCHEEPURAM,"TAMIL NADU",364571
"TAPAS ROY","Bharatiya Janata Party","KOLKATA UTTAR","WEST BENGAL",362136
"ARJUN MUNDA","Bharatiya Janata Party",KHUNTI,JHARKHAND,361972
"OM KUMAR","Bharatiya Janata Party",NAGINA,"UTTAR PRADESH",361079
"AROORI RAMESH","Bharatiya Janata Party",WARANGAL,TELANGANA,360955
"VELCHALA RAJENDER RAO","Indian National Congress",KARIMNAGAR,TELANGANA,359907
"SHRIRAM DAYARAM PATIL","Nationalist Congress Party – Sharadchandra Pawar",RAVER,MAHARASHTRA,358696
"ADV ARUN KUMAR C A","Communist Party of India",MAVELIKKARA,KERALA,358648
"RAMJI THAKOR","Indian National Congress",MAHESANA,GUJARAT,358360
"DILIP KUMAR TIRKEY","Biju Janata Dal",SUNDARGARH,ODISHA,355474
"DR. PRABHABEN KISHORSINH TAVIYAD","Indian National Congress",DAHOD,GUJARAT,355038
"KRISHNA NAND TRIPATHI","Indian National Congress",CHATRA,JHARKHAND,353597
"AC SHANMUGAM","Bharatiya Janata Party",VELLORE,"TAMIL NADU",352990
"GEETA KORA","Bharatiya Janata Party",SINGHBHUM,JHARKHAND,351762
"DR CHUMBEN MURRY","Nationalist Democratic Progressive Party",NAGALAND,NAGALAND,350967
"SUMAN KUMAR MAHASETH","Vikassheel Insaan Party",JHANJHARPUR,BIHAR,348863
"BHRUGU BAXIPATRA","Biju Janata Dal",BERHAMPUR,ODISHA,347626
"DINESH LAL YADAV “NIRAHUA”","Bharatiya Janata Party",AZAMGARH,"UTTAR PRADESH",347204
"ARUNACHALAM P.","All India Anna Dravida Munnetra Kazhagam",TIRUPPUR,"TAMIL NADU",346811
"A VIJAYARAGHAVAN","Communist Party of India  (Marxist)",PALAKKAD,KERALA,345886
"SRINIVAS GOMASE","Bharatiya Janata Party",PEDDAPALLE,TELANGANA,344223
"SAMIR ORAON","Bharatiya Janata Party",LOHARDAGA,JHARKHAND,343900
"V. VASEEF","Communist Party of India  (Marxist)",MALAPPURAM,KERALA,343888
"MUJAHID ALAM","Janata Dal  (United)",KISHANGANJ,BIHAR,343158
"YAMINI YASHWANT JADHAV","Shiv Sena","MUMBAI SOUTH",MAHARASHTRA,342982
"SHRAWAN KUMAR","Rashtriya Janata Dal",NAWADA,BIHAR,342938
"PANNEERSELVAM O S/O OTTAKARATHEVAR",Independent,RAMANATHAPURAM,"TAMIL NADU",342882
"RAJEEV CHANDRASEKHAR","Bharatiya Janata Party",THIRUVANANTHAPURAM,KERALA,342078
"RAHUL RAMESH SHEWALE","Shiv Sena","MUMBAI SOUTH CENTRAL",MAHARASHTRA,341754
"IMTIAZ JALEEL SYED","All India Majlis-E-Ittehadul Muslimeen",AURANGABAD,MAHARASHTRA,341480
"A. M ARIFF","Communist Party of India  (Marxist)",ALAPPUZHA,KERALA,341047
"DR. ARVIND RAJBHAR","Suheldev Bharatiya Samaj Party",GHOSI,"UTTAR PRADESH",340188
"ADV V S SUNILKUMAR","Communist Party of India",THRISSUR,KERALA,337652
"ABHIJIT DAS (BOBBY)","Bharatiya Janata Party","DIAMOND HARBOUR","WEST BENGAL",337300
"NAINAR NAGENTHRAN","Bharatiya Janata Party",TIRUNELVELI,"TAMIL NADU",336676
"RINKI SINGH","Apna Dal (Soneylal)",ROBERTSGANJ,"UTTAR PRADESH",336614
"R. K. SINGH PATEL","Bharatiya Janata Party",BANDA,"UTTAR PRADESH",335357
"PROF C RAVEENDRANATH","Communist Party of India  (Marxist)",CHALAKUDY,KERALA,330417
AMARPAL,"Samajwadi Party",BAGHPAT,"UTTAR PRADESH",329508
"SURESH CHAND KARDAM","Samajwadi Party",AGRA,"UTTAR PRADESH",328103
"V JOY","Communist Party of India  (Marxist)",ATTINGAL,KERALA,327367
"GURMEET SINGH KHUDIAN","Aam Aadmi Party",BATHINDA,PUNJAB,326902
"K.S HAMZA","Communist Party of India  (Marxist)",PONNANI,KERALA,326756
"ASHOK KUMAR","All India Anna Dravida Munnetra Kazhagam",ERODE,"TAMIL NADU",325773
"BHARAT YOGENDRA MAKWANA","Indian National Congress","AHMEDABAD WEST",GUJARAT,325267
"NEELAM SONKER","Bharatiya Janata Party",LALGANJ,"UTTAR PRADESH",324936
"MADHAVI LATHA KOMPELLA","Bharatiya Janata Party",HYDERABAD,TELANGANA,323894
"KAUSALYA HIKAKA","Biju Janata Dal",KORAPUT,ODISHA,323649
"BHUSHAN PATIL","Indian National Congress","MUMBAI NORTH",MAHARASHTRA,322538
SHIVRAM,"Indian National Congress",BULANDSHAHR,"UTTAR PRADESH",322176
"NARENDRA DAGDU KHEDEKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",BULDHANA,MAHARASHTRA,320388
"CHANDRA BHUSAN SINGH BUNDELA GUDDU RAJA","Indian National Congress",SAGAR,"MADHYA PRADESH",316757
"PHUNDE LAL SINGH MARKO","Indian National Congress",SHAHDOL,"MADHYA PRADESH",313803
"KALIYAPERUMAL M","All India Anna Dravida Munnetra Kazhagam",TIRUVANNAMALAI,"TAMIL NADU",313448
"KHUMAN URF PANKAJ AHIRWAR","Indian National Congress",TIKAMGARH,"MADHYA PRADESH",311738
"HIMMATSINH PRAHLADSINH PATEL","Indian National Congress","AHMEDABAD EAST",GUJARAT,308704
"JASVEER VALMIKI","Samajwadi Party",HATHRAS,"UTTAR PRADESH",307428
"DINESH YADAV","Indian National Congress",JABALPUR,"MADHYA PRADESH",303459
"TARBAR SINGH LODHI (BANTU BHAIYA)","Indian National Congress",DAMOH,"MADHYA PRADESH",303342
"VIJAY INDER SINGLA","Indian National Congress","ANANDPUR SAHIB",PUNJAB,302371
"DR.T.M.THOMAS ISSAC","Communist Party of India  (Marxist)",PATHANAMTHITTA,KERALA,301504
"RAVNEET SINGH BITTU","Bharatiya Janata Party",LUDHIANA,PUNJAB,301282
"CHANDESHWAR PRASAD","Janata Dal  (United)",JAHANABAD,BIHAR,300444
"JAYAPRAKASH V","All India Anna Dravida Munnetra Kazhagam",KRISHNAGIRI,"TAMIL NADU",300397
"KACHUI TIMOTHY ZIMIK","Naga Peoples Front","OUTER MANIPUR",MANIPUR,299536
"NAMA NAGESWARA RAO","Bharat Rashtra Samithi",KHAMMAM,TELANGANA,299082
"ADV. JOICE GEORGE","Communist Party of India  (Marxist)",IDUKKI,KERALA,298645
"GURPREET SINGH GP","Aam Aadmi Party","FATEHGARH SAHIB",PUNJAB,298389
"DR. MAHENDRA SINGH NAGAR","Samajwadi Party","GAUTAM BUDDHA NAGAR","UTTAR PRADESH",298357
"DINESH PRATAP SINGH","Bharatiya Janata Party","RAE BARELI","UTTAR PRADESH",297619
"PRATAPBHANU SHARMA","Indian National Congress",VIDISHA,"MADHYA PRADESH",295052
"HENA SHAHAB",Independent,SIWAN,BIHAR,293651
"M MUKESH","Communist Party of India  (Marxist)",KOLLAM,KERALA,293326
"TTV DHINAKARAN","Amma Makkal Munnettra Kazagam",THENI,"TAMIL NADU",292668
"GAJENDRAN G.V.","All India Anna Dravida Munnetra Kazhagam",ARANI,"TAMIL NADU",291333
"PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU)","Indian National Congress",VADODARA,GUJARAT,291063
"DR BALBIR SINGH","Aam Aadmi Party",PATIALA,PUNJAB,290785
"DR.TAMILISAI SOUNDARARAJAN","Bharatiya Janata Party","CHENNAI SOUTH","TAMIL NADU",290683
"RAJENDRA REANG","Communist Party of India  (Marxist)","TRIPURA EAST",TRIPURA,290628
"A NAMASSIVAYAM","Bharatiya Janata Party",PUDUCHERRY,PUDUCHERRY,289489
"GULABSINH SOMSINH CHAUHAN","Indian National Congress",PANCHMAHAL,GUJARAT,285237
"NEELAM ABHAY MISHRA","Indian National Congress",REWA,"MADHYA PRADESH",284085
"ANNIE RAJA","Communist Party of India",WAYANAD,KERALA,283023
"KARTHIKEYAN A","All India Anna Dravida Munnetra Kazhagam",POLLACHI,"TAMIL NADU",281335
"DINESH SINGH BABBU","Bharatiya Janata Party",GURDASPUR,PUNJAB,281182
"THOMAS CHAZHIKADAN","Kerala Congress  (M)",KOTTAYAM,KERALA,277365
"PAWAN SINGH",Independent,KARAKAT,BIHAR,274723
"G PREMKUMAR","All India Anna Dravida Munnetra Kazhagam",SRIPERUMBUDUR,"TAMIL NADU",271582
"ASISH KUMAR SAHA","Indian National Congress","TRIPURA WEST",TRIPURA,269763
"P. SIVAKOZHUNDU","Desiya Murpokku Dravida Kazhagam",CUDDALORE,"TAMIL NADU",269157
"GANESH GODIYAL","Indian National Congress",GARHWAL,UTTARAKHAND,268656
"OMAR ABDULLAH","Jammu & Kashmir National Conference",BARAMULLA,"JAMMU & KASHMIR",268339
"SONAL RAMANBHAI PATEL","Indian National Congress",GANDHINAGAR,GUJARAT,266256
"THOUNAOJAM BASANTA KUMAR SINGH","Bharatiya Janata Party","INNER MANIPUR",MANIPUR,264216
"KAVITHA MALOTH","Bharat Rashtra Samithi",MAHABUBABAD,TELANGANA,263609
"JAGDEEP SINGH KAKA BRAR","Aam Aadmi Party",FIROZPUR,PUNJAB,263384
"UMESHBHAI NARANBHAI MAKWANA","Aam Aadmi Party",BHAVNAGAR,GUJARAT,261594
"JENNY THUMMAR","Indian National Congress",AMRELI,GUJARAT,259804
"YAMINI GOMAR","Indian National Congress",HOSHIARPUR,PUNJAB,259748
"NAISHADHBHAI BHUPATBHAI  DESAI","Indian National Congress",NAVSARI,GUJARAT,257514
"L VIJAYAN","All India Anna Dravida Munnetra Kazhagam",ARAKKONAM,"TAMIL NADU",256657
"DR SURSITH SANKAR G","All India Anna Dravida Munnetra Kazhagam",NAGAPATTINAM,"TAMIL NADU",256087
"LALIT VASOYA","Indian National Congress",PORBANDAR,GUJARAT,249758
"BABU P","All India Anna Dravida Munnetra Kazhagam",MAYILADUTHURAI,"TAMIL NADU",247276
"MEHBOOBA MUFTI","Jammu & Kashmir Peoples Democratic Party",ANANTNAG-RAJOURI,"JAMMU & KASHMIR",240042
"DR MURUGAN L","Bharatiya Janata Party",NILGIRIS,"TAMIL NADU",232627
"K. J. SHINE TEACHER","Communist Party of India  (Marxist)",ERNAKULAM,KERALA,231932
"KAMLESH KUMAR","Bahujan Samaj Party",KHAJURAHO,"MADHYA PRADESH",231545
"DR K KRISHNASAMY","All India Anna Dravida Munnetra Kazhagam",TENKASI,"TAMIL NADU",229480
"KARUPPAIAH. P","All India Anna Dravida Munnetra Kazhagam",TIRUCHIRAPPALLI,"TAMIL NADU",229119
"AGATHA K SANGMA","National Peoples Party",TURA,MEGHALAYA,228678
"KARAMJIT SINGH ANMOL","Aam Aadmi Party",FARIDKOT,PUNJAB,228009
"MOHAMED MUBARAK M A","All India Anna Dravida Munnetra Kazhagam",DINDIGUL,"TAMIL NADU",226328
"Balaganapathy V. Pon","Bharatiya Janata Party",TIRUVALLUR,"TAMIL NADU",224801
"SAIDI REDDY SHANAMPUDI","Bharatiya Janata Party",NALGONDA,TELANGANA,224432
"XAVIERDASS A","All India Anna Dravida Munnetra Kazhagam",SIVAGANGA,"TAMIL NADU",222013
"RAAMA SREENIVASAN","Bharatiya Janata Party",MADURAI,"TAMIL NADU",220914
NOTA,"None of the Above",INDORE,"MADHYA PRADESH",218674
"MUKESH DHANGAR","Indian National Congress",MATHURA,"UTTAR PRADESH",216657
"KULDEEP SINGH DHALIWAL","Aam Aadmi Party",AMRITSAR,PUNJAB,214880
"SANJAY TANDON","Bharatiya Janata Party",CHANDIGARH,CHANDIGARH,214153
"CHANDRAMOHAN N D","All India Anna Dravida Munnetra Kazhagam",PERAMBALUR,"TAMIL NADU",214102
"SUSHIL KUMAR RINKU","Bharatiya Janata Party",JALANDHAR,PUNJAB,214060
"KULBIR SINGH ZIRA","Indian National Congress","KHADOOR SAHIB",PUNJAB,207310
"PALLAVI SHRINIVAS DEMPO","Bharatiya Janata Party","SOUTH GOA",GOA,204301
"VINCENT H. PALA","Indian National Congress",SHILLONG,MEGHALAYA,199168
"PRADEEP TAMTA","Indian National Congress",ALMORA,UTTARAKHAND,195070
"SUKHPAL SINGH KHAIRA","Indian National Congress",SANGRUR,PUNJAB,191525
"JOT SINGH GUNSOLA","Indian National Congress","TEHRI GARHWAL",UTTARAKHAND,190110
"J. I. KATHAR",Independent,DIPHU,ASSAM,187017
"SIVANESAN P","Desiya Murpokku Dravida Kazhagam",THANJAVUR,"TAMIL NADU",182662
VINOJ,"Bharatiya Janata Party","CHENNAI CENTRAL","TAMIL NADU",169159
"WAHEED UR REHMAN PARA","Jammu & Kashmir Peoples Democratic Party",SRINAGAR,"JAMMU & KASHMIR",168450
"R. MANOHAR","All India Anna Dravida Munnetra Kazhagam","CHENNAI NORTH","TAMIL NADU",158111
"SIVASAMY VELUMANI R","All India Anna Dravida Munnetra Kazhagam",THOOTHUKKUDI,"TAMIL NADU",147991
"RAMAKANT KHALAP","Indian National Congress","NORTH GOA",GOA,141311
"K VANLALVENA","Mizo National Front",MIZORAM,MIZORAM,140264
"BOSIRAM SIRAM","Indian National Congress","ARUNACHAL EAST","ARUNACHAL PRADESH",115160
"NABAM TUKI","Indian National Congress","ARUNACHAL WEST","ARUNACHAL PRADESH",104679
"BHARAT BASNETT","Citizen Action Party-Sikkim",SIKKIM,SIKKIM,83566
"KULDEEP RAI SHARMA","Indian National Congress","ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",78040
"AJIT RAMJIBHAI MAHALA","Indian National Congress","DADAR & NAGAR HAVELI","DADRA & NAGAR HAVELI AND DAMAN & DIU",63490
"TSERING NAMGYAL","Indian National Congress",LADAKH,LADAKH,37397
"LALUBHAI BABUBHAI PATEL","Bharatiya Janata Party","DAMAN & DIU","DADRA & NAGAR HAVELI AND DAMAN & DIU",36298
"MOHAMMED FAIZAL PP","Nationalist Congress Party – Sharadchandra Pawar",LAKSHADWEEP,LAKSHADWEEP,23079
