STATE,CONSTITUENCY,WINNER,WINNER_PARTY,WINNER_VOTES,RUNNER_UP,RUNNER_UP_PARTY,RUNNER_UP_VOTES,VOTE_DIFFERENCE
MAHARASHTRA,NANDED,"CHAVAN VASANTRAO BALWANTRAO","Indian National Congress",528894,"CHIKHALIKAR PRATAPRAO GOVINDRAO","Bharatiya Janata Party",469452,59442
"WEST BENGAL",ASANSOL,"SHATRUGHAN PRASAD SINHA","All India Trinamool Congress",605645,"SURENDRAJEET SINGH AHLUWALIA","Bharatiya Janata Party",546081,59564
BIHAR,KISHANGANJ,"MOHAMMAD JAWED","Indian National Congress",402850,"MUJAHID ALAM","Janata Dal  (United)",343158,59692
BIHAR,ARRAH,"SUDAMA PRASAD","Communist Party of India  (Marxist-Leninist)  (Liberation)",529382,"R. K. SINGH","Bharatiya Janata Party",469574,59808
CHHATTISGARH,JANJGIR-CHAMPA,"KAMLESH JANGDE","Bharatiya Janata Party",678199,"DR. SHIVKUMAR DAHARIYA","Indian National Congress",618199,60000
BIHAR,UJIARPUR,"NITYANAND RAI","Bharatiya Janata Party",515965,"ALOK KUMAR MEHTA","Rashtriya Janata Dal",455863,60102
MAHARASHTRA,LATUR,"DR. KALGE SHIVAJI BANDAPPA","Indian National Congress",609021,"SUDHAKAR TUKARAM SHRANGARE","Bharatiya Janata Party",547140,61881
"ANDHRA PRADESH",KADAPA,"Y. S. AVINASH REDDY","Yuvajana Sramika Rythu Congress Party",605143,"CHADIPIRALLA BHUPESH SUBBARAMI REDDY","Telugu Desam",542448,62695
HARYANA,HISAR,"JAI PARKASH (J P) S/O HARIKESH","Indian National Congress",570424,"RANJIT SINGH","Bharatiya Janata Party",507043,63381
KERALA,ALAPPUZHA,"K. C VENUGOPAL","Indian National Congress",404560,"A. M ARIFF","Communist Party of India  (Marxist)",341047,63513
KERALA,CHALAKUDY,"BENNY BEHANAN","Indian National Congress",394171,"PROF C RAVEENDRANATH","Communist Party of India  (Marxist)",330417,63754
"UTTAR PRADESH",BAHARAICH,"ANAND KUMAR","Bharatiya Janata Party",518802,"RAMESH CHANDRA","Samajwadi Party",454575,64227
"WEST BENGAL",BARRACKPUR,"PARTHA BHOWMICK","All India Trinamool Congress",520231,"ARJUN SINGH","Bharatiya Janata Party",455793,64438
"UTTAR PRADESH",SAHARANPUR,"IMRAN MASOOD","Indian National Congress",547967,"RAGHAV LAKHANPAL","Bharatiya Janata Party",483425,64542
CHHATTISGARH,SURGUJA,"CHINTAMANI MAHARAJ","Bharatiya Janata Party",713200,"SHASHI SINGH KORAM","Indian National Congress",648378,64822
"MADHYA PRADESH",BHIND,"SANDHYA RAY","Bharatiya Janata Party",537065,"PHOOL SINGH BARAIYA","Indian National Congress",472225,64840
RAJASTHAN,"TONK-SAWAI MADHOPUR","HARISH CHANDRA MEENA","Indian National Congress",623763,"SUKHBIR SINGH JAUNAPURIA","Bharatiya Janata Party",558814,64949
KERALA,PATHANAMTHITTA,"ANTO ANTONY","Indian National Congress",367623,"DR.T.M.THOMAS ISSAC","Communist Party of India  (Marxist)",301504,66119
MAHARASHTRA,BHIWANDI,"BALYA MAMA - SURESH GOPINATH MHATRE","Nationalist Congress Party – Sharadchandra Pawar",499464,"KAPIL MORESHWAR PATIL","Bharatiya Janata Party",433343,66121
"UTTAR PRADESH",PRATAPGARH,"SHIV PAL SINGH PATEL (DR. S P SINGH)","Samajwadi Party",441932,"SANGAM LAL GUPTA","Bharatiya Janata Party",375726,66206
ODISHA,KENDRAPARA,"BAIJAYANT PANDA","Bharatiya Janata Party",615705,"ANSHUMAN MOHANTY","Biju Janata Dal",549169,66536
BIHAR,NAWADA,"VIVEK THAKUR","Bharatiya Janata Party",410608,"SHRAWAN KUMAR","Rashtriya Janata Dal",342938,67670
"WEST BENGAL",RAIGANJ,"KARTICK CHANDRA PAUL","Bharatiya Janata Party",560897,"KALYANI KRISHNA","All India Trinamool Congress",492700,68197
MIZORAM,MIZORAM,"RICHARD VANLALHMANGAIHA","Zoram People’s Movement",208552,"K VANLALVENA","Mizo National Front",140264,68288
KARNATAKA,BAGALKOT,"GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.","Bharatiya Janata Party",671039,"SAMYUKTA SHIVANAND PATIL","Indian National Congress",602640,68399
"UTTAR PRADESH",KAIRANA,"IQRA CHOUDHARY","Samajwadi Party",528013,"PRADEEP KUMAR","Bharatiya Janata Party",458897,69116
PUNJAB,FARIDKOT,"SARABJEET SINGH KHALSA",Independent,298062,"KARAMJIT SINGH ANMOL","Aam Aadmi Party",228009,70053
"MADHYA PRADESH",GWALIOR,"BHARAT SINGH KUSHWAH","Bharatiya Janata Party",671535,"PRAVEEN PATHAK","Indian National Congress",601325,70210
"UTTAR PRADESH",MOHANLALGANJ,"R.K. CHAUDHARY","Samajwadi Party",667869,"KAUSHAL KISHORE","Bharatiya Janata Party",597577,70292
"TAMIL NADU",SALEM,"SELVAGANAPATHI T M","Dravida Munnetra Kazhagam",566085,"VIGNESH P","All India Anna Dravida Munnetra Kazhagam",495728,70357
"WEST BENGAL","DUM DUM","SOUGATA RAY","All India Trinamool Congress",528579,"SILBHADRA DATTA","Bharatiya Janata Party",457919,70660
"TAMIL NADU",VILUPPURAM,"RAVIKUMAR. D","Viduthalai Chiruthaigal Katchi",477033,"BHAGYARAJ. J","All India Anna Dravida Munnetra Kazhagam",406330,70703
"UTTAR PRADESH",BANDA,"KRISHNA DEVI SHIVSHANKER PATEL","Samajwadi Party",406567,"R. K. SINGH PATEL","Bharatiya Janata Party",335357,71210
KARNATAKA,KOLAR,"M. MALLESH BABU","Janata Dal  (Secular)",691481,"K V GOWTHAM","Indian National Congress",620093,71388
RAJASTHAN,CHURU,"RAHUL KASWAN","Indian National Congress",728211,"DEVENDRA JHAJHARIA","Bharatiya Janata Party",655474,72737
RAJASTHAN,SIKAR,AMRARAM,"Communist Party of India  (Marxist)",659300,"SUMEDHANAND SARASWATI","Bharatiya Janata Party",586404,72896
"WEST BENGAL",BANGAON,"SHANTANU THAKUR","Bharatiya Janata Party",719505,"BISWAJIT DAS S/O LATE BIJAY KRISHNA DAS","All India Trinamool Congress",645812,73693
MAHARASHTRA,SOLAPUR,"PRANITI SUSHILKUMAR SHINDE","Indian National Congress",620225,"RAM VITTHAL SATPUTE","Bharatiya Janata Party",546028,74197
KERALA,THRISSUR,"SURESH GOPI","Bharatiya Janata Party",412338,"ADV V S SUNILKUMAR","Communist Party of India",337652,74686
"HIMACHAL PRADESH",MANDI,"KANGNA RANAUT","Bharatiya Janata Party",537022,"VIKRAMADITYA SINGH","Indian National Congress",462267,74755
HARYANA,GURGAON,"RAO INDERJIT SINGH","Bharatiya Janata Party",808336,"RAJ BABBAR","Indian National Congress",733257,75079
KERALA,PALAKKAD,"V K SREEKANDAN","Indian National Congress",421169,"A VIJAYARAGHAVAN","Communist Party of India  (Marxist)",345886,75283
"WEST BENGAL",ALIPURDUARS,"MANOJ TIGGA","Bharatiya Janata Party",695314,"PRAKASH CHIK BARAIK","All India Trinamool Congress",619867,75447
"ANDHRA PRADESH",RAJAMPET,"P V MIDHUN REDDY","Yuvajana Sramika Rythu Congress Party",644844,"NALLARI KIRAN KUMAR REDDY","Bharatiya Janata Party",568773,76071
ODISHA,DHENKANAL,"RUDRA NARAYAN PANY","Bharatiya Janata Party",598721,"ABINASH SAMAL","Biju Janata Dal",522154,76567
"UTTAR PRADESH",SHRAWASTI,"RAM SHIROMANI VERMA","Samajwadi Party",511055,"SAKET MISRA","Bharatiya Janata Party",434382,76673
MAHARASHTRA,RAMTEK,"Shyamkumar (Babalu) Daulat Barve","Indian National Congress",613025,"RAJU DEONATH PARVE","Shiv Sena",536257,76768
"WEST BENGAL",HOOGHLY,"RACHNA BANERJEE","All India Trinamool Congress",702744,"LOCKET CHATTERJEE","Bharatiya Janata Party",625891,76853
KARNATAKA,BIJAPUR,"RAMESH JIGAJINAGI","Bharatiya Janata Party",672781,"RAJU ALAGUR.","Indian National Congress",595552,77229
"WEST BENGAL","MALDAHA UTTAR","KHAGEN MURMU","Bharatiya Janata Party",527023,"PRASUN BANERJEE","All India Trinamool Congress",449315,77708
"WEST BENGAL",TAMLUK,"ABHIJIT GANGOPADHYAY","Bharatiya Janata Party",765584,"DEBANGSHU BHATTACHARYA","All India Trinamool Congress",687851,77733
DELHI,"NEW DELHI","BANSURI SWARAJ","Bharatiya Janata Party",453185,"SOMNATH BHARTI","Aam Aadmi Party",374815,78370
BIHAR,AURANGABAD,"ABHAY KUMAR SINHA","Rashtriya Janata Dal",465567,"SUSHIL KUMAR SINGH","Bharatiya Janata Party",386456,79111
KARNATAKA,RAICHUR,"G. KUMAR NAIK.","Indian National Congress",670966,"RAJA AMARESHWARA NAIK.","Bharatiya Janata Party",591185,79781
SIKKIM,SIKKIM,"INDRA HANG SUBBA","Sikkim Krantikari Morcha",164396,"BHARAT BASNETT","Citizen Action Party-Sikkim",83566,80830
BIHAR,MUNGER,"RAJIV RANJAN SINGH ALIAS LALAN SINGH","Janata Dal  (United)",550146,"KUMARI ANITA","Rashtriya Janata Dal",469276,80870
JHARKHAND,GIRIDIH,"CHANDRA PRAKASH CHOUDHARY","AJSU Party",451139,"MATHURA PRASAD MAHATO","Jharkhand Mukti Morcha",370259,80880
BIHAR,BEGUSARAI,"GIRIRAJ SINGH","Bharatiya Janata Party",649331,"ABDHESH KUMAR ROY","Communist Party of India",567851,81480
MAHARASHTRA,WARDHA,"AMAR SHARADRAO KALE","Nationalist Congress Party – Sharadchandra Pawar",533106,"RAMDAS CHANDRABHAN TADAS","Bharatiya Janata Party",451458,81648
"UTTAR PRADESH","KUSHI NAGAR","VIJAY KUMAR DUBAY","Bharatiya Janata Party",516345,"AJAY PRATAP SINGH URF PINTU SAITHWAR","Samajwadi Party",434555,81790
MAHARASHTRA,RAIGAD,"TATKARE SUNIL DATTATREY","Nationalist Congress Party",508352,"ANANT GEETE","Shiv Sena (Uddhav Balasaheb Thackrey)",425568,82784
PUNJAB,GURDASPUR,"SUKHJINDER SINGH RANDHAWA","Indian National Congress",364043,"DINESH SINGH BABBU","Bharatiya Janata Party",281182,82861
"MADHYA PRADESH",SATNA,"GANESH SINGH","Bharatiya Janata Party",459728,"DABBU SIDDHARTH SUKHLAL KUSHWAHA","Indian National Congress",374779,84949
"WEST BENGAL",BAHARAMPUR,"PATHAN YUSUF","All India Trinamool Congress",524516,"ADHIR RANJAN CHOWDHURY","Indian National Congress",439494,85022
BIHAR,PATLIPUTRA,"MISHA BHARTI","Rashtriya Janata Dal",613283,"RAM KRIPAL YADAV","Bharatiya Janata Party",528109,85174
MANIPUR,"OUTER MANIPUR","ALFRED KANNGAM S ARTHUR","Indian National Congress",384954,"KACHUI TIMOTHY ZIMIK","Naga Peoples Front",299536,85418
GUJARAT,BHARUCH,"MANSUKHBHAI DHANJIBHAI VASAVA","Bharatiya Janata Party",608157,"CHAITARBHAI DAMJIBHAI VASAVA","Aam Aadmi Party",522461,85696
"WEST BENGAL",JALPAIGURI,"DR JAYANTA KUMAR ROY","Bharatiya Janata Party",766568,"NIRMAL CHANDRA ROY","All India Trinamool Congress",679875,86693
KERALA,KOTTAYAM,"ADV K FRANCIS GEORGE","Kerala Congress",364631,"THOMAS CHAZHIKADAN","Kerala Congress  (M)",277365,87266
"UTTAR PRADESH",RAMPUR,MOHIBBULLAH,"Samajwadi Party",481503,"GHANSHYAM SINGH LODHI","Bharatiya Janata Party",394069,87434
ODISHA,NABARANGPUR,"BALABHADRA MAJHI","Bharatiya Janata Party",481396,"PRADEEP KUMAR MAJHI","Biju Janata Dal",393860,87536
RAJASTHAN,GANGANAGAR,"KULDEEP INDORA","Indian National Congress",726492,"PRIYANKA BALAN MEGHWAL","Bharatiya Janata Party",638339,88153
BIHAR,"PURVI CHAMPARAN","RADHA MOHAN SINGH","Bharatiya Janata Party",542193,"DR RAJESH KUMAR","Vikassheel Insaan Party",453906,88287
"UTTAR PRADESH",FIROZABAD,"AKSHAYA YADAV","Samajwadi Party",543037,"VISHWADEEP SINGH","Bharatiya Janata Party",453725,89312
DELHI,"CHANDNI CHOWK","PRAVEEN KHANDELWAL","Bharatiya Janata Party",516496,"JAI PRAKASH AGARWAL","Indian National Congress",427171,89325
BIHAR,VAISHALI,"VEENA DEVI","Lok Janshakti Party(Ram Vilas)",567043,"VIJAY KUMAR SHUKLA","Rashtriya Janata Dal",477409,89634
"UTTAR PRADESH",SITAPUR,"RAKESH RATHOR","Indian National Congress",531138,"RAJESH VERMA","Bharatiya Janata Party",441497,89641
GUJARAT,ANAND,"MITESH PATEL (BAKABHAI)","Bharatiya Janata Party",612484,"AMIT CHAVDA","Indian National Congress",522545,89939
TELANGANA,ADILABAD,"GODAM NAGESH","Bharatiya Janata Party",568168,"ATHRAM SUGUNA","Indian National Congress",477516,90652
KARNATAKA,CHIKKODI,"PRIYANKA SATISH JARKIHOLI","Indian National Congress",713461,"ANNASAHEB SHANKAR JOLLE","Bharatiya Janata Party",622627,90834
"HIMACHAL PRADESH",SHIMLA,"Suresh Kumar Kashyap","Bharatiya Janata Party",519748,"Vinod Sultanpuri","Indian National Congress",428297,91451
ODISHA,BHADRAK,"AVIMANYU SETHI","Bharatiya Janata Party",573319,"MANJULATA MANDAL","Biju Janata Dal",481775,91544
"UTTAR PRADESH","SANT KABIR NAGAR","LAXMIKANT PAPPU NISHAD","Samajwadi Party",498695,"PRAVIN KUMAR NISHAD","Bharatiya Janata Party",406525,92170
"WEST BENGAL","KOLKATA UTTAR","BANDYOPADHYAY SUDIP","All India Trinamool Congress",454696,"TAPAS ROY","Bharatiya Janata Party",362136,92560
BIHAR,SIWAN,"VIJAYLAKSHMI DEVI","Janata Dal  (United)",386508,"HENA SHAHAB",Independent,293651,92857
DELHI,"EAST DELHI","HARSH MALHOTRA","Bharatiya Janata Party",664819,"KULDEEP KUMAR (MONU)","Aam Aadmi Party",571156,93663
TELANGANA,NAGARKURNOOL,"DR.MALLU RAVI","Indian National Congress",465072,"BHARATH  PRASAD POTHUGANTI","Bharatiya Janata Party",370658,94414
MAHARASHTRA,"YAVATMAL- WASHIM","SANJAY UTTAMRAO DESHMUKH","Shiv Sena (Uddhav Balasaheb Thackrey)",594807,"RAJSHRITAI HEMANT PATIL (MAHALLE)","Shiv Sena",500334,94473
MAHARASHTRA,MAVAL,"SHRIRANG APPA CHANDU BARNE","Shiv Sena",692832,"SANJOG BHIKU WAGHERE PATIL","Shiv Sena (Uddhav Balasaheb Thackrey)",596217,96615
ODISHA,KEONJHAR,"ANANTA NAYAK","Bharatiya Janata Party",573923,"DHANURJAYA SIDU","Biju Janata Dal",476881,97042
KARNATAKA,DHARWAD,"PRALHAD JOSHI","Bharatiya Janata Party",716231,"VINOD ASOOTI","Indian National Congress",618907,97324
BIHAR,"VALMIKI NAGAR","SUNIL KUMAR","Janata Dal  (United)",523422,"DEEPAK YADAV","Rashtriya Janata Dal",424747,98675
RAJASTHAN,KARAULI-DHOLPUR,"BHAJAN LAL JATAV","Indian National Congress",530011,"INDU DEVI","Bharatiya Janata Party",431066,98945
KARNATAKA,BELLARY,"E. TUKARAM","Indian National Congress",730845,"B. SREERAMULU","Bharatiya Janata Party",631853,98992
"UTTAR PRADESH",JAUNPUR,"BABU SINGH KUSHWAHA","Samajwadi Party",509130,"KRIPASHANKAR SINGH","Bharatiya Janata Party",409795,99335
ODISHA,ASKA,"ANITA SUBHADARSHINI","Bharatiya Janata Party",494226,"RANJITA SAHU","Biju Janata Dal",394252,99974
MAHARASHTRA,SANGLI,"VISHAL (DADA) PRAKASHBAPU PATIL",Independent,571666,"SANJAY (KAKA) PATIL","Bharatiya Janata Party",471613,100053
KERALA,KASARAGOD,"RAJMOHAN UNNITHAN","Indian National Congress",490659,"M.V BALAKRISHNAN MASTER","Communist Party of India  (Marxist)",390010,100649
"ARUNACHAL PRADESH","ARUNACHAL WEST","KIREN RIJIJU","Bharatiya Janata Party",205417,"NABAM TUKI","Indian National Congress",104679,100738
"UTTAR PRADESH",BASTI,"RAM PRASAD CHAUDHARY","Samajwadi Party",527005,"HARISH CHANDRA ALIAS HARISH DWIVEDI","Bharatiya Janata Party",426011,100994
BIHAR,GAYA,"JITAN RAM MANJHI","Hindustani Awam Morcha (Secular)",494960,"KUMAR SARVJEET","Rashtriya Janata Dal",393148,101812
JHARKHAND,GODDA,"NISHIKANT DUBEY","Bharatiya Janata Party",693140,"PRADEEP YADAV","Indian National Congress",591327,101813
"UTTAR PRADESH",JHANSI,"ANURAG SHARMA","Bharatiya Janata Party",690316,"PRADEEP JAIN ADITYA","Indian National Congress",587702,102614
BIHAR,MAHARAJGANJ,"JANARDAN SINGH SIGRIWAL","Bharatiya Janata Party",529533,"AAKASH KUMAR SINGH","Indian National Congress",426882,102651
"UTTAR PRADESH",GORAKHPUR,"RAVINDRA SHUKLA ALIAS RAVI KISHAN","Bharatiya Janata Party",585834,"KAJAL NISHAD","Samajwadi Party",482308,103526
"TAMIL NADU",CHIDAMBARAM,"THIRUMAAVALAVAN THOL","Viduthalai Chiruthaigal Katchi",505084,"CHANDRAHASAN M","All India Anna Dravida Munnetra Kazhagam",401530,103554
BIHAR,BANKA,"GIRIDHARI YADAV","Janata Dal  (United)",506678,"JAI PRAKASH NARAYAN YADAV","Rashtriya Janata Dal",402834,103844
"MADHYA PRADESH",MANDLA,"FAGGAN SINGH KULASTE","Bharatiya Janata Party",751375,"OMKAR SINGH MARKAM","Indian National Congress",647529,103846
"UTTAR PRADESH",KAUSHAMBI,"PUSHPENDRA SAROJ","Samajwadi Party",509787,"VINOD KUMAR SONKAR","Bharatiya Janata Party",405843,103944
ODISHA,PURI,"SAMBIT PATRA","Bharatiya Janata Party",629330,"ARUP MOHAN PATNAIK","Biju Janata Dal",524621,104709
BIHAR,BHAGALPUR,"AJAY KUMAR MANDAL","Janata Dal  (United)",536031,"AJEET SHARMA","Indian National Congress",431163,104868
"UTTAR PRADESH",MORADABAD,"RUCHI VIRA","Samajwadi Party",637363,"KUNWAR SARVESH KUMAR","Bharatiya Janata Party",531601,105762
BIHAR,KARAKAT,"RAJA RAM SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",380581,"PAWAN SINGH",Independent,274723,105858
MAHARASHTRA,HINGOLI,"AASHTIKAR PATIL NAGESH BAPURAO","Shiv Sena (Uddhav Balasaheb Thackrey)",492535,"BABURAO KADAM KOHALIKAR","Shiv Sena",383933,108602
KERALA,KANNUR,"K. SUDHAKARAN","Indian National Congress",518524,"M.V. JAYARAJAN","Communist Party of India  (Marxist)",409542,108982
TELANGANA,NIZAMABAD,"ARVIND DHARMAPURI","Bharatiya Janata Party",592318,"JEEVANREDDY THATIPARTHI","Indian National Congress",483077,109241
MANIPUR,"INNER MANIPUR","ANGOMCHA BIMOL AKOIJAM","Indian National Congress",374017,"THOUNAOJAM BASANTA KUMAR SINGH","Bharatiya Janata Party",264216,109801
MAHARASHTRA,JALNA,"KALYAN VAIJINATHRAO KALE","Indian National Congress",607897,"DANVE RAOSAHEB DADARAO","Bharatiya Janata Party",497939,109958
"ANDHRA PRADESH",KURNOOLU,"BASTIPATI NAGARAJU PANCHALINGALA","Telugu Desam",658914,"B Y RAMAIAH","Yuvajana Sramika Rythu Congress Party",547616,111298
"ANDHRA PRADESH",NANDYAL,"DR BYREDDY SHABARI","Telugu Desam",701131,"POCHA BRAHMANANDA REDDY","Yuvajana Sramika Rythu Congress Party",589156,111975
BIHAR,JAMUI,"ARUN BHARTI","Lok Janshakti Party(Ram Vilas)",509046,"ARCHANA KUMARI","Rashtriya Janata Dal",396564,112482
MAHARASHTRA,DINDORI,"BHASKAR MURLIDHAR BHAGARE","Nationalist Congress Party – Sharadchandra Pawar",577339,"DR. BHARATI PRAVIN PAWAR","Bharatiya Janata Party",464140,113199
"MADHYA PRADESH",CHHINDWARA,"BUNTY VIVEK SAHU","Bharatiya Janata Party",644738,"NAKUL KAMALNATH","Indian National Congress",531120,113618
"WEST BENGAL",BARASAT,"KAKOLI GHOSH DASTIDAR","All India Trinamool Congress",692010,"SWAPAN MAJUMDER","Bharatiya Janata Party",577821,114189
KERALA,VADAKARA,"SHAFI PARAMBIL","Indian National Congress",557528,"K K SHAILAJA TEACHER","Communist Party of India  (Marxist)",443022,114506
"UTTAR PRADESH",LALGANJ,"DAROGA PRASAD SAROJ","Samajwadi Party",439959,"NEELAM SONKER","Bharatiya Janata Party",324936,115023
RAJASTHAN,JODHPUR,"GAJENDRA SINGH SHEKHAWAT","Bharatiya Janata Party",730056,"KARAN SINGH UCHIYARDA","Indian National Congress",614379,115677
GOA,"NORTH GOA","SHRIPAD YESSO NAIK","Bharatiya Janata Party",257326,"RAMAKANT KHALAP","Indian National Congress",141311,116015
"WEST BENGAL",JANGIPUR,"KHALILUR RAHAMAN","All India Trinamool Congress",544427,"MURTOJA HOSSAIN BOKUL","Indian National Congress",427790,116637
"TAMIL NADU",COIMBATORE,"GANAPATHY RAJKUMAR P","Dravida Munnetra Kazhagam",568200,"ANNAMALAI K","Bharatiya Janata Party",450132,118068
RAJASTHAN,BARMER,"UMMEDA RAM BENIWAL","Indian National Congress",704676,"RAVINDRA SINGH BHATI",Independent,586500,118176
ODISHA,SAMBALPUR,"DHARMENDRA PRADHAN","Bharatiya Janata Party",592162,"PRANAB PRAKASH DAS","Biju Janata Dal",472326,119836
JHARKHAND,RANCHI,"SANJAY SETH","Bharatiya Janata Party",664732,"YASHASWINI SAHAY","Indian National Congress",544220,120512
MAHARASHTRA,MADHA,"MOHITE-PATIL DHAIRYASHEEL RAJSINH","Nationalist Congress Party – Sharadchandra Pawar",622213,"RANJEETSINGH HINDURAO NAIK NIMBALKAR","Bharatiya Janata Party",501376,120837
"UTTAR PRADESH",SAMBHAL,"ZIA UR REHMAN","Samajwadi Party",571161,"PARMESHWAR LAL SAINI","Bharatiya Janata Party",449667,121494
MAHARASHTRA,PUNE,"MURLIDHAR MOHOL","Bharatiya Janata Party",584728,"DHANGEKAR RAVINDRA HEMRAJ","Indian National Congress",461690,123038
DELHI,"SOUTH DELHI","RAMVIR SINGH BIDHURI","Bharatiya Janata Party",692832,"SAHI RAM","Aam Aadmi Party",568499,124333
