CONSTITUENCY,STATE,TOTAL_VOTES
SURAT,GUJARAT,0
LAKSHADWEEP,LAKSHADWEEP,49200
"DAMAN & DIU","DADRA & NAGAR HAVELI AND DAMAN & DIU",92410
LADAKH,LADAKH,135524
"ANDAMAN & NICOBAR ISLANDS","ANDAMAN & NICOBAR ISLANDS",202514
"DADAR & NAGAR HAVELI","DADRA & NAGAR HAVELI AND DAMAN & DIU",205588
"ARUNACHAL EAST","ARUNACHAL PRADESH",323443
SIKKIM,SIKKIM,384893
"ARUNACHAL WEST","ARUNACHAL PRADESH",399804
CHANDIGARH,CHANDIGARH,449275
"SOUTH GOA",GOA,450520
"NORTH GOA",GOA,456018
MIZORAM,MIZORAM,491336
ALMORA,UTTARAKHAND,668497
TURA,MEGHALAYA,674056
SRINAGAR,"JAMMU & KASHMIR",675242
DIPHU,ASSAM,682827
"CHENNAI CENTRAL","TAMIL NADU",730549
GARHWAL,UTTARAKHAND,737431
NAGALAND,NAGALAND,760796
"MUMBAI SOUTH",MAHARASHTRA,773113
"MUMBAI SOUTH CENTRAL",MAHARASHTRA,794524
"OUTER MANIPUR",MANIPUR,796735
"INNER MANIPUR",MANIPUR,796897
PUDUCHERRY,PUDUCHERRY,807940
KOTTAYAM,KERALA,836223
IDUKKI,KERALA,840657
"NEW DELHI",DELHI,847468
"TEHRI GARHWAL",UTTARAKHAND,862041
NAWADA,BIHAR,869870
AMRELI,GUJARAT,876426
KANPUR,"UTTAR PRADESH",887396
MAVELIKKARA,KERALA,894971
"CHENNAI NORTH","TAMIL NADU",902489
AMRITSAR,PUNJAB,905656
ERNAKULAM,KERALA,910502
"MUMBAI NORTH CENTRAL",MAHARASHTRA,910562
"RATNAGIRI- SINDHUDURG",MAHARASHTRA,914038
KOLLAM,KERALA,915691
SALEMPUR,"UTTAR PRADESH",917362
REWA,"MADHYA PRADESH",918129
PATHANAMTHITTA,KERALA,919569
JAHANABAD,BIHAR,925370
"MUMBAI NORTH EAST",MAHARASHTRA,926469
PORBANDAR,GUJARAT,928977
BAGHPAT,"UTTAR PRADESH",933773
KHUNTI,JHARKHAND,936682
BANSGAON,"UTTAR PRADESH",944763
AURANGABAD,BIHAR,945880
ALLAHABAD,"UTTAR PRADESH",947000
PRATAPGARH,"UTTAR PRADESH",947288
HOSHIARPUR,PUNJAB,948485
CHALAKUDY,KERALA,951287
GONDA,"UTTAR PRADESH",952884
"MUMBAI NORTH WEST",MAHARASHTRA,954939
MATHURA,"UTTAR PRADESH",957046
"KOLKATA UTTAR","WEST BENGAL",958433
THIRUVANANTHAPURAM,KERALA,962983
GAYA,BIHAR,963676
"CHANDNI CHOWK",DELHI,966102
"AHMEDABAD WEST",GUJARAT,966646
LOHARDAGA,JHARKHAND,967125
RAMPUR,"UTTAR PRADESH",968079
SHIMLA,"HIMACHAL PRADESH",969965
NAGAPATTINAM,"TAMIL NADU",973011
"FATEHGARH SAHIB",PUNJAB,974256
THOOTHUKKUDI,"TAMIL NADU",978526
JAMUI,BIHAR,979233
AMETHI,"UTTAR PRADESH",980671
ATTINGAL,KERALA,985341
MADURAI,"TAMIL NADU",986969
KARAULI-DHOLPUR,RAJASTHAN,988122
JALANDHAR,PUNJAB,989107
ALATHUR,KERALA,992268
KANDHAMAL,ODISHA,996091
SIWAN,BIHAR,998018
NAGINA,"UTTAR PRADESH",1001303
LALGANJ,"UTTAR PRADESH",1003438
BALLIA,"UTTAR PRADESH",1007322
BASTAR,CHHATTISGARH,1007395
SINGHBHUM,JHARKHAND,1007597
KAUSHAMBI,"UTTAR PRADESH",1009329
ROBERTSGANJ,"UTTAR PRADESH",1009545
SANGRUR,PUNJAB,1009665
ETAH,"UTTAR PRADESH",1010381
RAIGAD,MAHARASHTRA,1013272
MAHARAJGANJ,BIHAR,1014109
BANKA,BIHAR,1014155
FARIDKOT,PUNJAB,1014455
PHULPUR,"UTTAR PRADESH",1014824
MANDI,"HIMACHAL PRADESH",1015810
ASKA,ODISHA,1017914
NILGIRIS,"TAMIL NADU",1018906
DOMARIYAGANJ,"UTTAR PRADESH",1018965
SARAN,BIHAR,1021508
DARBHANGA,BIHAR,1024184
BIJNOR,"UTTAR PRADESH",1024432
ANANTNAG-RAJOURI,"JAMMU & KASHMIR",1026148
PONNANI,KERALA,1026296
MADHUBANI,BIHAR,1027728
THANJAVUR,"TAMIL NADU",1028706
KANNIYAKUMARI,"TAMIL NADU",1029055
CUDDALORE,"TAMIL NADU",1031563
KARAKAT,BIHAR,1031618
SULTANPUR,"UTTAR PRADESH",1033387
ETAWAH,"UTTAR PRADESH",1033784
FARRUKHABAD,"UTTAR PRADESH",1033794
BARAMULLA,"JAMMU & KASHMIR",1033900
"FATEHPUR SIKRI","UTTAR PRADESH",1034155
"MUMBAI NORTH",MAHARASHTRA,1035493
PALAKKAD,KERALA,1035836
KANGRA,"HIMACHAL PRADESH",1036868
SHILLONG,MEGHALAYA,1037911
TENKASI,"TAMIL NADU",1039119
"RAE BARELI","UTTAR PRADESH",1039219
UJIARPUR,BIHAR,1042068
BERHAMPUR,ODISHA,1042923
DEORIA,"UTTAR PRADESH",1043308
BANDA,"UTTAR PRADESH",1044132
KALYAN,MAHARASHTRA,1045736
SHRAWASTI,"UTTAR PRADESH",1046528
"KHADOOR SAHIB",PUNJAB,1047165
BHAVNAGAR,GUJARAT,1047232
HAMIRPUR,"HIMACHAL PRADESH",1047263
SECUNDERABAD,TELANGANA,1047659
BHIND,"MADHYA PRADESH",1049007
JAMNAGAR,GUJARAT,1051235
MISRIKH,"UTTAR PRADESH",1051983
SIVAGANGA,"TAMIL NADU",1053419
MAINPURI,"UTTAR PRADESH",1054011
BULANDSHAHR,"UTTAR PRADESH",1054399
AZAMGARH,"UTTAR PRADESH",1054520
SHEOHAR,BIHAR,1055602
TIRUCHIRAPPALLI,"TAMIL NADU",1055964
BAHARAICH,"UTTAR PRADESH",1056566
ALAPPUZHA,KERALA,1058703
SATNA,"MADHYA PRADESH",1058972
LUDHIANA,PUNJAB,1059157
SHIRDI,MAHARASHTRA,1059864
MACHHLISHAHR,"UTTAR PRADESH",1060063
KHAGARIA,BIHAR,1061894
VIRUDHUNAGAR,"TAMIL NADU",1061901
KAISERGANJ,"UTTAR PRADESH",1062099
GOPALGANJ,BIHAR,1063027
KANNUR,KERALA,1063855
BHAGALPUR,BIHAR,1064081
TIRUNELVELI,"TAMIL NADU",1067448
JUNAGADH,GUJARAT,1068253
DAUSA,RAJASTHAN,1072734
"PURVI CHAMPARAN",BIHAR,1073688
BUXAR,BIHAR,1073759
"PATNA SAHIB",BIHAR,1075496
MAHESANA,GUJARAT,1076827
"ANANDPUR SAHIB",PUNJAB,1077123
GURDASPUR,PUNJAB,1077826
MUZAFFARNAGAR,"UTTAR PRADESH",1078669
KAIRANA,"UTTAR PRADESH",1079806
HYDERABAD,TELANGANA,1080324
"KUSHI NAGAR","UTTAR PRADESH",1080483
BHUBANESWAR,ODISHA,1082215
HATHRAS,"UTTAR PRADESH",1082720
BASTI,"UTTAR PRADESH",1082870
WAYANAD,KERALA,1084653
BHADOHI,"UTTAR PRADESH",1084993
MALAPPURAM,KERALA,1085182
"PASCHIM CHAMPARAN",BIHAR,1086256
CHATRA,JHARKHAND,1086374
AKBARPUR,"UTTAR PRADESH",1086953
MAYILADUTHURAI,"TAMIL NADU",1087708
AONLA,"UTTAR PRADESH",1088896
DAMOH,"MADHYA PRADESH",1088944
SILCHAR,ASSAM,1089426
KOZHIKODE,KERALA,1090050
THRISSUR,KERALA,1090876
"SANT KABIR NAGAR","UTTAR PRADESH",1091202
BADAUN,"UTTAR PRADESH",1091764
ERODE,"TAMIL NADU",1093423
JHANJHARPUR,BIHAR,1093741
SITAMARHI,BIHAR,1093992
SAMASTIPUR,BIHAR,1094592
WARDHA,MAHARASHTRA,1095012
KACHCHH,GUJARAT,1095157
PEDDAPALLE,TELANGANA,1095295
ARRAH,BIHAR,1096561
SASARAM,BIHAR,1097075
TIKAMGARH,"MADHYA PRADESH",1098390
"CHENNAI SOUTH","TAMIL NADU",1099321
HARDOI,"UTTAR PRADESH",1100116
JAUNPUR,"UTTAR PRADESH",1101788
"VALMIKI NAGAR",BIHAR,1101830
SITAPUR,"UTTAR PRADESH",1102015
PUNE,MAHARASHTRA,1104572
MIRZAPUR,"UTTAR PRADESH",1105405
FATEHPUR,"UTTAR PRADESH",1106944
FIROZABAD,"UTTAR PRADESH",1107296
MAHABUBABAD,TELANGANA,1108786
BULDHANA,MAHARASHTRA,1109496
RAMANATHAPURAM,"TAMIL NADU",1109853
AMROHA,"UTTAR PRADESH",1110690
DHAURAHRA,"UTTAR PRADESH",1111847
MUZAFFARPUR,BIHAR,1112460
KASARAGOD,KERALA,1112546
UDHAMPUR,"JAMMU & KASHMIR",1113727
HAMIRPUR,"UTTAR PRADESH",1115299
CHANDAULI,"UTTAR PRADESH",1116499
BIKANER,RAJASTHAN,1118282
DAHOD,GUJARAT,1118294
JHUNJHUNU,RAJASTHAN,1118927
BAREILLY,"UTTAR PRADESH",1119558
CUTTACK,ODISHA,1120795
VADAKARA,KERALA,1122947
AGRA,"UTTAR PRADESH",1123779
SONIPAT,HARYANA,1123944
FIROZPUR,PUNJAB,1125115
POLLACHI,"TAMIL NADU",1126045
NANDED,MAHARASHTRA,1128254
"AHMEDABAD EAST",GUJARAT,1128339
JALAUN,"UTTAR PRADESH",1128949
PERAMBALUR,"TAMIL NADU",1129226
VELLORE,"TAMIL NADU",1129458
VARANASI,"UTTAR PRADESH",1130143
SURENDRANAGAR,GUJARAT,1131377
PANCHMAHAL,GUJARAT,1131497
KARUR,"TAMIL NADU",1132045
BHARATPUR,RAJASTHAN,1133000
ALIGARH,"UTTAR PRADESH",1133366
"TRIPURA EAST",TRIPURA,1134345
LUCKNOW,"UTTAR PRADESH",1136892
MUNGER,BIHAR,1139081
ARANI,"TAMIL NADU",1140261
KHAJURAHO,"MADHYA PRADESH",1140570
FAIZABAD,"UTTAR PRADESH",1140661
THENI,"TAMIL NADU",1141219
BARRACKPUR,"WEST BENGAL",1141860
TIRUPPUR,"TAMIL NADU",1142549
NALANDA,BIHAR,1144383
TIRUVANNAMALAI,"TAMIL NADU",1146273
NAMAKKAL,"TAMIL NADU",1146303
KARIMGANJ,ASSAM,1146882
SIDHI,"MADHYA PRADESH",1147264
KORAPUT,ODISHA,1148842
DINDIGUL,"TAMIL NADU",1149621
SAGAR,"MADHYA PRADESH",1150549
GHOSI,"UTTAR PRADESH",1150590
KISHANGANJ,BIHAR,1151099
BATHINDA,PUNJAB,1151170
PATIALA,PUNJAB,1151743
SHAHDOL,"MADHYA PRADESH",1152013
VILUPPURAM,"TAMIL NADU",1152667
GHAZIPUR,"UTTAR PRADESH",1153094
GORAKHPUR,"UTTAR PRADESH",1154413
HAJIPUR,BIHAR,1155324
SUNDARGARH,ODISHA,1155777
JABALPUR,"MADHYA PRADESH",1158545
HINGOLI,MAHARASHTRA,1159300
PILIBHIT,"UTTAR PRADESH",1160947
JAJPUR,ODISHA,1161208
ARAKKONAM,"TAMIL NADU",1163822
ARAKU,"ANDHRA PRADESH",1164445
KRISHNAGIRI,"TAMIL NADU",1166156
GADCHIROLI,MAHARASHTRA,1166360
CHIDAMBARAM,"TAMIL NADU",1167071
ANAND,GUJARAT,1167969
SANGLI,MAHARASHTRA,1168744
JALGAON,MAHARASHTRA,1169553
KATIHAR,BIHAR,1171546
RAVER,MAHARASHTRA,1171666
VAISHALI,BIHAR,1172060
AKOLA,MAHARASHTRA,1173072
AMRAVATI,MAHARASHTRA,1173579
MAYURBHANJ,ODISHA,1174050
HISAR,HARYANA,1174115
KHEDA,GUJARAT,1175848
"AMBEDKAR NAGAR","UTTAR PRADESH",1177062
MEERUT,"UTTAR PRADESH",1182479
BHIWANI-MAHENDRAGARH,HARYANA,1183395
DUMKA,JHARKHAND,1184132
MORENA,"MADHYA PRADESH",1187331
DHENKANAL,ODISHA,1191673
PATAN,GUJARAT,1193125
SAMBHAL,"UTTAR PRADESH",1194983
PURNIA,BIHAR,1195844
SAMBALPUR,ODISHA,1196747
PURI,ODISHA,1196938
SATARA,MAHARASHTRA,1198004
BHARUCH,GUJARAT,1198964
AJMER,RAJASTHAN,1201179
SOLAPUR,MAHARASHTRA,1204485
KURUKSHETRA,HARYANA,1205872
MADHEPURA,BIHAR,1209695
"TRIPURA WEST",TRIPURA,1209809
MAHARAJGANJ,"UTTAR PRADESH",1210451
LAKHIMPUR,ASSAM,1211214
NAGPUR,MAHARASHTRA,1211321
VADODARA,GUJARAT,1212149
RAJSAMAND,RAJASTHAN,1213130
KHERI,"UTTAR PRADESH",1213359
KANNAUJ,"UTTAR PRADESH",1217833
RAJMAHAL,JHARKHAND,1218249
NAGARKURNOOL,TELANGANA,1219223
DHULE,MAHARASHTRA,1219295
KORBA,CHHATTISGARH,1225313
"YAVATMAL- WASHIM",MAHARASHTRA,1225530
MAHBUBNAGAR,TELANGANA,1226078
"TONK-SAWAI MADHOPUR",RAJASTHAN,1226584
"UDUPI CHIKMAGALUR",KARNATAKA,1229418
SAHARANPUR,"UTTAR PRADESH",1229455
PATLIPUTRA,BIHAR,1230099
NARSAPURAM,"ANDHRA PRADESH",1230994
SUPAUL,BIHAR,1231114
NIZAMABAD,TELANGANA,1233581
"BHANDARA GONDIYA",MAHARASHTRA,1235073
ADILABAD,TELANGANA,1235597
SRIKAKULAM,"ANDHRA PRADESH",1235686
ZAHIRABAD,TELANGANA,1236593
NASHIK,MAHARASHTRA,1237204
BALURGHAT,"WEST BENGAL",1237308
NAGAUR,RAJASTHAN,1238473
LATUR,MAHARASHTRA,1239079
BALASORE,ODISHA,1239635
DINDORI,MAHARASHTRA,1240910
CHANDRAPUR,MAHARASHTRA,1241304
KOKRAJHAR,ASSAM,1241496
BIDAR,KARNATAKA,1242322
NABARANGPUR,ODISHA,1242475
"KOLKATA DAKSHIN","WEST BENGAL",1243477
DHARMAPURI,"TAMIL NADU",1247832
SHAHJAHANPUR,"UTTAR PRADESH",1247902
ROHTAK,HARYANA,1248446
"BANGALORE SOUTH",KARNATAKA,1249342
KALLAKURICHI,"TAMIL NADU",1249568
HOSHANGABAD,"MADHYA PRADESH",1249692
KHAMMAM,TELANGANA,1251283
RAMTEK,MAHARASHTRA,1252512
ARARIA,BIHAR,1252560
BHIWANDI,MAHARASHTRA,1253399
ALWAR,RAJASTHAN,1253438
KEONJHAR,ODISHA,1256615
KANCHEEPURAM,"TAMIL NADU",1259578
"DUM DUM","WEST BENGAL",1260046
"JAIPUR RURAL",RAJASTHAN,1262054
"UTTARA KANNADA",KARNATAKA,1262761
"EAST DELHI",DELHI,1264049
HAZARIBAGH,JHARKHAND,1264667
GIRIDIH,JHARKHAND,1264833
KANKER,CHHATTISGARH,1265429
"NAINITAL-UDHAMSINGH NAGAR",UTTARAKHAND,1266016
"CHHOTA UDAIPUR",GUJARAT,1267719
WARANGAL,TELANGANA,1267946
SABARKANTHA,GUJARAT,1269358
HOWRAH,"WEST BENGAL",1271796
MADHA,MAHARASHTRA,1273418
RAJKOT,GUJARAT,1273542
KENDRAPARA,ODISHA,1277108
JAMSHEDPUR,JHARKHAND,1277629
DIBRUGARH,ASSAM,1278322
OSMANABAD,MAHARASHTRA,1281052
MORADABAD,"UTTAR PRADESH",1283185
JAGATSINGHPUR,ODISHA,1286287
SONITPUR,ASSAM,1288468
BARABANKI,"UTTAR PRADESH",1290634
BEGUSARAI,BIHAR,1294673
"SOUTH DELHI",DELHI,1295998
HATKANANGALE,MAHARASHTRA,1296024
BIJAPUR,KARNATAKA,1296114
NALGONDA,TELANGANA,1296324
BHADRAK,ODISHA,1297377
VIZIANAGARAM,"ANDHRA PRADESH",1299242
RAICHUR,KARNATAKA,1299619
BAPATLA,"ANDHRA PRADESH",1300745
SIKAR,RAJASTHAN,1300856
AMALAPURAM,"ANDHRA PRADESH",1301106
ASANSOL,"WEST BENGAL",1301540
JAMMU,"JAMMU & KASHMIR",1302176
AURANGABAD,MAHARASHTRA,1302197
UNNAO,"UTTAR PRADESH",1302271
HARIDWAR,UTTARAKHAND,1302623
TUMKUR,KARNATAKA,1303451
BHILWARA,RAJASTHAN,1304395
CHHINDWARA,"MADHYA PRADESH",1304827
SALEM,"TAMIL NADU",1304844
THANE,MAHARASHTRA,1309068
BARGARH,ODISHA,1309864
GULBARGA,KARNATAKA,1310477
MACHILIPATNAM,"ANDHRA PRADESH",1312004
KARIMNAGAR,TELANGANA,1312852
"BANGALORE CENTRAL",KARNATAKA,1316510
BAGALKOT,KARNATAKA,1317561
DAVANAGERE,KARNATAKA,1320368
GANDHINAGAR,GUJARAT,1321802
KADAPA,"ANDHRA PRADESH",1321975
RAJAHMUNDRY,"ANDHRA PRADESH",1325297
ANAKAPALLE,"ANDHRA PRADESH",1325332
AHMEDNAGAR,MAHARASHTRA,1325477
MAHASAMUND,CHHATTISGARH,1326080
DARJEELING,"WEST BENGAL",1327412
UJJAIN,"MADHYA PRADESH",1328580
KOPPAL,KARNATAKA,1328936
KAKINADA,"ANDHRA PRADESH",1329803
KURNOOLU,"ANDHRA PRADESH",1330780
PARBHANI,MAHARASHTRA,1331176
RAJAMPET,"ANDHRA PRADESH",1332939
KALAHANDI,ODISHA,1334244
NAVSARI,GUJARAT,1338216
BARDOLI,GUJARAT,1339333
GWALIOR,"MADHYA PRADESH",1343229
KARNAL,HARYANA,1345892
AMBALA,HARYANA,1346722
PALI,RAJASTHAN,1353842
SIRSA,HARYANA,1354632
HASSAN,KARNATAKA,1355007
KOLAR,KARNATAKA,1355228
BILASPUR,CHHATTISGARH,1361350
VALSAD,GUJARAT,1361411
JALNA,MAHARASHTRA,1363409
VIJAYAWADA,"ANDHRA PRADESH",1364405
DHARWAD,KARNATAKA,1366491
CHITRADURGA,KARNATAKA,1366909
RAIGANJ,"WEST BENGAL",1368471
JANGIPUR,"WEST BENGAL",1369633
"MALDAHA DAKSHIN","WEST BENGAL",1369789
CHAMARAJANAGAR,KARNATAKA,1369797
KODARMA,JHARKHAND,1369964
COIMBATORE,"TAMIL NADU",1372833
GUNA,"MADHYA PRADESH",1373766
SHIRUR,MAHARASHTRA,1374464
NELLORE,"ANDHRA PRADESH",1375649
BANASKANTHA,GUJARAT,1375903
PALGHAR,MAHARASHTRA,1376074
SHIMOGA,KARNATAKA,1377224
MOHANLALGANJ,"UTTAR PRADESH",1377452
JHANSI,"UTTAR PRADESH",1380506
ELURU,"ANDHRA PRADESH",1382049
BALAGHAT,"MADHYA PRADESH",1382280
THIRUPATHI,"ANDHRA PRADESH",1382570
JODHPUR,RAJASTHAN,1383838
BELGAUM,KARNATAKA,1383889
BAHARAMPUR,"WEST BENGAL",1384770
MEDAK,TELANGANA,1386239
VISAKHAPATNAM,"ANDHRA PRADESH",1387125
BELLARY,KARNATAKA,1389914
PALAMAU,JHARKHAND,1390738
ULUBERIA,"WEST BENGAL",1390794
JORHAT,ASSAM,1391160
JANJGIR-CHAMPA,CHHATTISGARH,1392240
CHIKKODI,KARNATAKA,1393093
KOLHAPUR,MAHARASHTRA,1393326
NANDURBAR,MAHARASHTRA,1393669
HAVERI,KARNATAKA,1395812
BETUL,"MADHYA PRADESH",1396020
GODDA,JHARKHAND,1398204
BOLANGIR,ODISHA,1400248
BHONGIR,TELANGANA,1401396
NANDYAL,"ANDHRA PRADESH",1404418
BARAMATI,MAHARASHTRA,1412349
GANGANAGAR,RAJASTHAN,1413494
"DAKSHINA KANNADA",KARNATAKA,1415770
HINDUPUR,"ANDHRA PRADESH",1416339
"MALDAHA UTTAR","WEST BENGAL",1417589
TIRUVALLUR,"TAMIL NADU",1417812
CHITTOOR,"ANDHRA PRADESH",1418857
MAVAL,MAHARASHTRA,1419401
JHALAWAR-BARAN,RAJASTHAN,1421331
ALIPURDUARS,"WEST BENGAL",1421389
ONGOLE,"ANDHRA PRADESH",1422214
CHURU,RAJASTHAN,1424645
DHAR,"MADHYA PRADESH",1425044
GUNTUR,"ANDHRA PRADESH",1425371
KRISHNANAGAR,"WEST BENGAL",1425712
DHANBAD,JHARKHAND,1428007
RAJGARH,"MADHYA PRADESH",1428997
MANDSOUR,"MADHYA PRADESH",1433492
PURULIA,"WEST BENGAL",1434018
"GAUTAM BUDDHA NAGAR","UTTAR PRADESH",1437244
ANANTHAPUR,"ANDHRA PRADESH",1440428
SRIPERUMBUDUR,"TAMIL NADU",1440935
RAJNANDGAON,CHHATTISGARH,1445765
BANKURA,"WEST BENGAL",1447674
RANCHI,JHARKHAND,1447781
JALORE,RAJASTHAN,1451126
RAIGARH,CHHATTISGARH,1452965
SURGUJA,CHHATTISGARH,1455269
VIDISHA,"MADHYA PRADESH",1455658
MANDYA,KARNATAKA,1460267
JAIPUR,RAJASTHAN,1463258
DEWAS,"MADHYA PRADESH",1469104
GHAZIABAD,"UTTAR PRADESH",1470430
FARIDABAD,HARYANA,1471322
SRERAMPUR,"WEST BENGAL",1476532
MEDINIPUR,"WEST BENGAL",1481563
JOYNAGAR,"WEST BENGAL",1482631
MYSORE,KARNATAKA,1484473
"NORTH-WEST DELHI",DELHI,1487207
JHARGRAM,"WEST BENGAL",1490843
BANGAON,"WEST BENGAL",1493108
MATHURAPUR,"WEST BENGAL",1496024
"BARDHAMAN PURBA","WEST BENGAL",1497310
BHOPAL,"MADHYA PRADESH",1498285
UDAIPUR,RAJASTHAN,1498376
CHITTORGARH,RAJASTHAN,1498733
NARSARAOPET,"ANDHRA PRADESH",1499569
KOTA,RAJASTHAN,1500157
BARDHAMAN-DURGAPUR,"WEST BENGAL",1501773
KHANDWA,"MADHYA PRADESH",1512542
BISHNUPUR,"WEST BENGAL",1513872
HOOGHLY,"WEST BENGAL",1517511
BEED,MAHARASHTRA,1522295
BASIRHAT,"WEST BENGAL",1523401
"WEST DELHI",DELHI,1524494
BIRBHUM,"WEST BENGAL",1527432
BOLPUR,"WEST BENGAL",1528470
"DIAMOND HARBOUR","WEST BENGAL",1530817
CHIKKBALLAPUR,KARNATAKA,1530820
KANTHI,"WEST BENGAL",1530997
BARASAT,"WEST BENGAL",1532601
RATLAM,"MADHYA PRADESH",1532643
MANDLA,"MADHYA PRADESH",1535632
RANAGHAT,"WEST BENGAL",1540632
MURSHIDABAD,"WEST BENGAL",1541559
DURG,CHHATTISGARH,1542787
NAGAON,ASSAM,1549998
"NORTH-EAST DELHI",DELHI,1552731
KHARGONE,"MADHYA PRADESH",1558778
ARAMBAGH,"WEST BENGAL",1559079
INDORE,"MADHYA PRADESH",1561968
JADAVPUR,"WEST BENGAL",1566509
TAMLUK,"WEST BENGAL",1577319
JALPAIGURI,"WEST BENGAL",1578389
RAIPUR,CHHATTISGARH,1586755
GUWAHATI,ASSAM,1599389
GHATAL,"WEST BENGAL",1600556
GURGAON,HARYANA,1601232
COOCHBEHAR,"WEST BENGAL",1623048
KAZIRANGA,ASSAM,1629937
BANSWARA,RAJASTHAN,1636852
CHEVELLA,TELANGANA,1675354
BARPETA,ASSAM,1685943
BARMER,RAJASTHAN,1688051
"BANGALORE NORTH",KARNATAKA,1752504
DARRANG-UDALGURI,ASSAM,1811200
"BANGALORE RURAL",KARNATAKA,1919540
MALKAJGIRI,TELANGANA,1933843
DHUBRI,ASSAM,2453608
