CANDIDATE,PARTY,CONSTITUENCY,STATE,RUNNER_UP_VOTE_PERCENTAGE
"KAPIL MORESHWAR PATIL","Bharatiya Janata Party",BHIWANDI,MAHARASHTRA,34.57
"PIYA SAHA","Bharatiya Janata Party",BOLPUR,"WEST BENGAL",34.57
"CHANDRAHAS CHAUPAL","Rashtriya Janata Dal",SUPAUL,BIHAR,34.54
"TILAK PERADA","Yuvajana Sramika Rythu Congress Party",SRIKAKULAM,"ANDHRA PRADESH",34.51
"DEBASREE CHAUDHURI","Bharatiya Janata Party","KOLKATA DAKSHIN","WEST BENGAL",34.42
"CHANDRAHASAN M","All India Anna Dravida Munnetra Kazhagam",CHIDAMBARAM,"TAMIL NADU",34.4
"ASHOK TANWAR","Bharatiya Janata Party",SIRSA,HARYANA,34.35
"ELAMARAM KAREEM","Communist Party of India  (Marxist)",KOZHIKODE,KERALA,34.33
"RAJENDRA RADHAKISHAN MALVIYA","Indian National Congress",DEWAS,"MADHYA PRADESH",34.29
"DR. SANDEEP SAURAV","Communist Party of India  (Marxist-Leninist)  (Liberation)",NALANDA,BIHAR,34.11
"DEBTANU BHATTACHARYA","Bharatiya Janata Party",BIRBHUM,"WEST BENGAL",34.06
"AGATHA K SANGMA","National Peoples Party",TURA,MEGHALAYA,33.93
"KABIR SHANKAR BOSE","Bharatiya Janata Party",SRERAMPUR,"WEST BENGAL",33.8
"BHARAT YOGENDRA MAKWANA","Indian National Congress","AHMEDABAD WEST",GUJARAT,33.65
"MD SALIM","Communist Party of India  (Marxist)",MURSHIDABAD,"WEST BENGAL",33.62
"LEKHASRI SAMANTSINGHAR","Biju Janata Dal",BALASORE,ODISHA,33.62
"RAJENDRA SAHU","Indian National Congress",DURG,CHHATTISGARH,33.59
"RAMU TEKAM","Indian National Congress",BETUL,"MADHYA PRADESH",33.56
"A VIJAYARAGHAVAN","Communist Party of India  (Marxist)",PALAKKAD,KERALA,33.39
"RINKI SINGH","Apna Dal (Soneylal)",ROBERTSGANJ,"UTTAR PRADESH",33.34
"BHRUGU BAXIPATRA","Biju Janata Dal",BERHAMPUR,ODISHA,33.33
"RAMJI THAKOR","Indian National Congress",MAHESANA,GUJARAT,33.28
"ANJANA UDAILAL","Indian National Congress",CHITTORGARH,RAJASTHAN,33.25
"V JOY","Communist Party of India  (Marxist)",ATTINGAL,KERALA,33.22
"THOMAS CHAZHIKADAN","Kerala Congress  (M)",KOTTAYAM,KERALA,33.17
"THOUNAOJAM BASANTA KUMAR SINGH","Bharatiya Janata Party","INNER MANIPUR",MANIPUR,33.16
"BABURAO KADAM KOHALIKAR","Shiv Sena",HINGOLI,MAHARASHTRA,33.12
"SOWMIYA ANBUMANI","Pattali Makkal Katchi",DHARMAPURI,"TAMIL NADU",32.97
"DINESH LAL YADAV “NIRAHUA”","Bharatiya Janata Party",AZAMGARH,"UTTAR PRADESH",32.93
"KALUSINH DABHI","Indian National Congress",KHEDA,GUJARAT,32.88
"KAMLESHWAR INDRAJIT KUMAR","Indian National Congress",SIDHI,"MADHYA PRADESH",32.87
"DR.T.M.THOMAS ISSAC","Communist Party of India  (Marxist)",PATHANAMTHITTA,KERALA,32.79
"ANNAMALAI K","Bharatiya Janata Party",COIMBATORE,"TAMIL NADU",32.79
"ARCHANA RANAJAGJITSINH PATIL","Nationalist Congress Party",OSMANABAD,MAHARASHTRA,32.7
"KRISHNA NAND TRIPATHI","Indian National Congress",CHATRA,JHARKHAND,32.55
"THANGAVEL. L","All India Anna Dravida Munnetra Kazhagam",KARUR,"TAMIL NADU",32.52
"CHANDESHWAR PRASAD","Janata Dal  (United)",JAHANABAD,BIHAR,32.47
"LURINJYOTI GOGOI","Assam Jatiya Parishad",DIBRUGARH,ASSAM,32.42
"SREERUPA MITRA CHAUDHURY (NIRBHAYA DIDI)","Bharatiya Janata Party","MALDAHA DAKSHIN","WEST BENGAL",32.42
"NEELAM SONKER","Bharatiya Janata Party",LALGANJ,"UTTAR PRADESH",32.38
"A. M ARIFF","Communist Party of India  (Marxist)",ALAPPUZHA,KERALA,32.21
"PREMLAL GANJU","Indian National Congress",SONITPUR,ASSAM,32.16
"R. K. SINGH PATEL","Bharatiya Janata Party",BANDA,"UTTAR PRADESH",32.12
"DR. DAMODAR GURJAR","Indian National Congress",RAJSAMAND,RAJASTHAN,32.06
"ANUPAMA SINGH","Indian National Congress",DHANBAD,JHARKHAND,32.04
"M MUKESH","Communist Party of India  (Marxist)",KOLLAM,KERALA,32.03
"ADVOCATE ARUN SHRIVASTAVA","Indian National Congress",BHOPAL,"MADHYA PRADESH",32.01
"SUMAN KUMAR MAHASETH","Vikassheel Insaan Party",JHANJHARPUR,BIHAR,31.9
"K.S HAMZA","Communist Party of India  (Marxist)",PONNANI,KERALA,31.84
"TARACHAND MEENA","Indian National Congress",UDAIPUR,RAJASTHAN,31.81
"DR. PRABHABEN KISHORSINH TAVIYAD","Indian National Congress",DAHOD,GUJARAT,31.75
"ADHIR RANJAN CHOWDHURY","Indian National Congress",BAHARAMPUR,"WEST BENGAL",31.74
"PRASUN BANERJEE","All India Trinamool Congress","MALDAHA UTTAR","WEST BENGAL",31.7
"PRADEEP KUMAR MAJHI","Biju Janata Dal",NABARANGPUR,ODISHA,31.7
"V. VASEEF","Communist Party of India  (Marxist)",MALAPPURAM,KERALA,31.69
"NAINAR NAGENTHRAN","Bharatiya Janata Party",TIRUNELVELI,"TAMIL NADU",31.54
"SRINIVAS GOMASE","Bharatiya Janata Party",PEDDAPALLE,TELANGANA,31.43
"SUKHRAMBHAI HARIYABHAI RATHWA","Indian National Congress","CHHOTA UDAIPUR",GUJARAT,31.38
"AC SHANMUGAM","Bharatiya Janata Party",VELLORE,"TAMIL NADU",31.25
"SUDAM MARNDI","Biju Janata Dal",MAYURBHANJ,ODISHA,31.23
"MURTOJA HOSSAIN BOKUL","Indian National Congress",JANGIPUR,"WEST BENGAL",31.23
"NEELAM MADHU","Indian National Congress",MEDAK,TELANGANA,31.17
"BHUSHAN PATIL","Indian National Congress","MUMBAI NORTH",MAHARASHTRA,31.15
"DILIP SINGH GURJAR","Indian National Congress",MANDSOUR,"MADHYA PRADESH",31.05
"PATNAM SUNEETHA MAHENDER REDDY","Indian National Congress",MALKAJGIRI,TELANGANA,31
"RAMAKANT KHALAP","Indian National Congress","NORTH GOA",GOA,30.99
"ADV V S SUNILKUMAR","Communist Party of India",THRISSUR,KERALA,30.95
"NEELAM ABHAY MISHRA","Indian National Congress",REWA,"MADHYA PRADESH",30.94
"PANNEERSELVAM O S/O OTTAKARATHEVAR",Independent,RAMANATHAPURAM,"TAMIL NADU",30.89
"AJIT RAMJIBHAI MAHALA","Indian National Congress","DADAR & NAGAR HAVELI","DADRA & NAGAR HAVELI AND DAMAN & DIU",30.88
"REKHA PATRA","Bharatiya Janata Party",BASIRHAT,"WEST BENGAL",30.87
"LAMBODAR NIAL","Biju Janata Dal",KALAHANDI,ODISHA,30.77
"DILIP KUMAR TIRKEY","Biju Janata Dal",SUNDARGARH,ODISHA,30.76
"GURPREET SINGH GP","Aam Aadmi Party","FATEHGARH SAHIB",PUNJAB,30.63
"SHRIRAM DAYARAM PATIL","Nationalist Congress Party – Sharadchandra Pawar",RAVER,MAHARASHTRA,30.61
SHIVRAM,"Indian National Congress",BULANDSHAHR,"UTTAR PRADESH",30.56
"SANJAY SHARMA SANJU BHAIYA","Indian National Congress",HOSHANGABAD,"MADHYA PRADESH",30.44
"BHARATH  PRASAD POTHUGANTI","Bharatiya Janata Party",NAGARKURNOOL,TELANGANA,30.4
"BHARTI BHARAT KAMDI","Shiv Sena (Uddhav Balasaheb Thackrey)",PALGHAR,MAHARASHTRA,30.37
"ARUNACHALAM P.","All India Anna Dravida Munnetra Kazhagam",TIRUPPUR,"TAMIL NADU",30.35
"VINOD KUMAR SINGH","Communist Party of India  (Marxist-Leninist)  (Liberation)",KODARMA,JHARKHAND,30.27
"MADHAVI LATHA KOMPELLA","Bharatiya Janata Party",HYDERABAD,TELANGANA,29.98
"VIKAS UPADHYAY","Indian National Congress",RAIPUR,CHHATTISGARH,29.94
"JAI PRAKASH BHAI PATEL","Indian National Congress",HAZARIBAGH,JHARKHAND,29.88
"MUJAHID ALAM","Janata Dal  (United)",KISHANGANJ,BIHAR,29.81
"ASHOK KUMAR","All India Anna Dravida Munnetra Kazhagam",ERODE,"TAMIL NADU",29.79
"MADHAB RAJBANGSHI","Indian National Congress",DARRANG-UDALGURI,ASSAM,29.78
"JENNY THUMMAR","Indian National Congress",AMRELI,GUJARAT,29.64
"DR. ARVIND RAJBHAR","Suheldev Bharatiya Samaj Party",GHOSI,"UTTAR PRADESH",29.57
"HENA SHAHAB",Independent,SIWAN,BIHAR,29.42
"DR. ANIRBAN GANGULY","Bharatiya Janata Party",JADAVPUR,"WEST BENGAL",29.35
"DHANANI PARESH","Indian National Congress",RAJKOT,GUJARAT,29.35
"MATHURA PRASAD MAHATO","Jharkhand Mukti Morcha",GIRIDIH,JHARKHAND,29.27
"SURESH CHAND KARDAM","Samajwadi Party",AGRA,"UTTAR PRADESH",29.2
"PRADEEP TAMTA","Indian National Congress",ALMORA,UTTARAKHAND,29.18
"JHANSI LAKSHMI. BOTCHA.","Yuvajana Sramika Rythu Congress Party",VISAKHAPATNAM,"ANDHRA PRADESH",29.07
"DR. BOORA NARSAIAH GOUD","Bharatiya Janata Party",BHONGIR,TELANGANA,29.04
"RAJASEKAR. E","All India Anna Dravida Munnetra Kazhagam",KANCHEEPURAM,"TAMIL NADU",28.94
"NARENDRA DAGDU KHEDEKAR","Shiv Sena (Uddhav Balasaheb Thackrey)",BULDHANA,MAHARASHTRA,28.88
"DINESH PRATAP SINGH","Bharatiya Janata Party","RAE BARELI","UTTAR PRADESH",28.64
"ASHOK KANDARY","Bharatiya Janata Party",JOYNAGAR,"WEST BENGAL",28.6
"K VANLALVENA","Mizo National Front",MIZORAM,MIZORAM,28.55
"AROORI RAMESH","Bharatiya Janata Party",WARANGAL,TELANGANA,28.47
"RAVNEET SINGH BITTU","Bharatiya Janata Party",LUDHIANA,PUNJAB,28.45
"GURMEET SINGH KHUDIAN","Aam Aadmi Party",BATHINDA,PUNJAB,28.4
"JASVEER VALMIKI","Samajwadi Party",HATHRAS,"UTTAR PRADESH",28.39
"KHUMAN URF PANKAJ AHIRWAR","Indian National Congress",TIKAMGARH,"MADHYA PRADESH",28.38
"KAUSALYA HIKAKA","Biju Janata Dal",KORAPUT,ODISHA,28.17
"VIJAY INDER SINGLA","Indian National Congress","ANANDPUR SAHIB",PUNJAB,28.07
"TARBAR SINGH LODHI (BANTU BHAIYA)","Indian National Congress",DAMOH,"MADHYA PRADESH",27.86
"YADVENDRA RAO DESHRAJ SINGH","Indian National Congress",GUNA,"MADHYA PRADESH",27.83
"TSERING NAMGYAL","Indian National Congress",LADAKH,LADAKH,27.59
"CHANDRA BHUSAN SINGH BUNDELA GUDDU RAJA","Indian National Congress",SAGAR,"MADHYA PRADESH",27.53
"VELCHALA RAJENDER RAO","Indian National Congress",KARIMNAGAR,TELANGANA,27.41
"J. I. KATHAR",Independent,DIPHU,ASSAM,27.39
"YAMINI GOMAR","Indian National Congress",HOSHIARPUR,PUNJAB,27.39
"HIMMATSINH PRAHLADSINH PATEL","Indian National Congress","AHMEDABAD EAST",GUJARAT,27.36
"KALIYAPERUMAL M","All India Anna Dravida Munnetra Kazhagam",TIRUVANNAMALAI,"TAMIL NADU",27.34
"PHUNDE LAL SINGH MARKO","Indian National Congress",SHAHDOL,"MADHYA PRADESH",27.24
"LALIT VASOYA","Indian National Congress",PORBANDAR,GUJARAT,26.89
"PAWAN SINGH",Independent,KARAKAT,BIHAR,26.63
"DR.TAMILISAI SOUNDARARAJAN","Bharatiya Janata Party","CHENNAI SOUTH","TAMIL NADU",26.44
"DR SURSITH SANKAR G","All India Anna Dravida Munnetra Kazhagam",NAGAPATTINAM,"TAMIL NADU",26.32
"IMTIAZ JALEEL SYED","All India Majlis-E-Ittehadul Muslimeen",AURANGABAD,MAHARASHTRA,26.22
"DINESH YADAV","Indian National Congress",JABALPUR,"MADHYA PRADESH",26.19
"NABAM TUKI","Indian National Congress","ARUNACHAL WEST","ARUNACHAL PRADESH",26.18
"ANNIE RAJA","Communist Party of India",WAYANAD,KERALA,26.09
"DINESH SINGH BABBU","Bharatiya Janata Party",GURDASPUR,PUNJAB,26.09
"P. SIVAKOZHUNDU","Desiya Murpokku Dravida Kazhagam",CUDDALORE,"TAMIL NADU",26.09
"OMAR ABDULLAH","Jammu & Kashmir National Conference",BARAMULLA,"JAMMU & KASHMIR",25.95
"JAYAPRAKASH V","All India Anna Dravida Munnetra Kazhagam",KRISHNAGIRI,"TAMIL NADU",25.76
"TTV DHINAKARAN","Amma Makkal Munnettra Kazagam",THENI,"TAMIL NADU",25.65
"RAJENDRA REANG","Communist Party of India  (Marxist)","TRIPURA EAST",TRIPURA,25.62
"GAJENDRAN G.V.","All India Anna Dravida Munnetra Kazhagam",ARANI,"TAMIL NADU",25.55
"K. J. SHINE TEACHER","Communist Party of India  (Marxist)",ERNAKULAM,KERALA,25.47
"DR BALBIR SINGH","Aam Aadmi Party",PATIALA,PUNJAB,25.25
"GULABSINH SOMSINH CHAUHAN","Indian National Congress",PANCHMAHAL,GUJARAT,25.21
"KARTHIKEYAN A","All India Anna Dravida Munnetra Kazhagam",POLLACHI,"TAMIL NADU",24.98
"UMESHBHAI NARANBHAI MAKWANA","Aam Aadmi Party",BHAVNAGAR,GUJARAT,24.98
"WAHEED UR REHMAN PARA","Jammu & Kashmir Peoples Democratic Party",SRINAGAR,"JAMMU & KASHMIR",24.95
"PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU)","Indian National Congress",VADODARA,GUJARAT,24.01
"NAMA NAGESWARA RAO","Bharat Rashtra Samithi",KHAMMAM,TELANGANA,23.9
"KAVITHA MALOTH","Bharat Rashtra Samithi",MAHABUBABAD,TELANGANA,23.77
"KULDEEP SINGH DHALIWAL","Aam Aadmi Party",AMRITSAR,PUNJAB,23.73
"JAGDEEP SINGH KAKA BRAR","Aam Aadmi Party",FIROZPUR,PUNJAB,23.41
"MEHBOOBA MUFTI","Jammu & Kashmir Peoples Democratic Party",ANANTNAG-RAJOURI,"JAMMU & KASHMIR",23.39
VINOJ,"Bharatiya Janata Party","CHENNAI CENTRAL","TAMIL NADU",23.16
"DR MURUGAN L","Bharatiya Janata Party",NILGIRIS,"TAMIL NADU",22.83
"BABU P","All India Anna Dravida Munnetra Kazhagam",MAYILADUTHURAI,"TAMIL NADU",22.73
"MUKESH DHANGAR","Indian National Congress",MATHURA,"UTTAR PRADESH",22.64
"KARAMJIT SINGH ANMOL","Aam Aadmi Party",FARIDKOT,PUNJAB,22.48
"RAAMA SREENIVASAN","Bharatiya Janata Party",MADURAI,"TAMIL NADU",22.38
"ASISH KUMAR SAHA","Indian National Congress","TRIPURA WEST",TRIPURA,22.3
"DR K KRISHNASAMY","All India Anna Dravida Munnetra Kazhagam",TENKASI,"TAMIL NADU",22.08
"L VIJAYAN","All India Anna Dravida Munnetra Kazhagam",ARAKKONAM,"TAMIL NADU",22.05
"JOT SINGH GUNSOLA","Indian National Congress","TEHRI GARHWAL",UTTARAKHAND,22.05
"ABHIJIT DAS (BOBBY)","Bharatiya Janata Party","DIAMOND HARBOUR","WEST BENGAL",22.03
"BHARAT BASNETT","Citizen Action Party-Sikkim",SIKKIM,SIKKIM,21.71
"KARUPPAIAH. P","All India Anna Dravida Munnetra Kazhagam",TIRUCHIRAPPALLI,"TAMIL NADU",21.7
"SUSHIL KUMAR RINKU","Bharatiya Janata Party",JALANDHAR,PUNJAB,21.64
"XAVIERDASS A","All India Anna Dravida Munnetra Kazhagam",SIVAGANGA,"TAMIL NADU",21.08
"DR. MAHENDRA SINGH NAGAR","Samajwadi Party","GAUTAM BUDDHA NAGAR","UTTAR PRADESH",20.76
"KAMLESH KUMAR","Bahujan Samaj Party",KHAJURAHO,"MADHYA PRADESH",20.3
"PRATAPBHANU SHARMA","Indian National Congress",VIDISHA,"MADHYA PRADESH",20.27
"SONAL RAMANBHAI PATEL","Indian National Congress",GANDHINAGAR,GUJARAT,20.14
"KULBIR SINGH ZIRA","Indian National Congress","KHADOOR SAHIB",PUNJAB,19.8
"MOHAMED MUBARAK M A","All India Anna Dravida Munnetra Kazhagam",DINDIGUL,"TAMIL NADU",19.69
"NAISHADHBHAI BHUPATBHAI  DESAI","Indian National Congress",NAVSARI,GUJARAT,19.24
"VINCENT H. PALA","Indian National Congress",SHILLONG,MEGHALAYA,19.19
"SUKHPAL SINGH KHAIRA","Indian National Congress",SANGRUR,PUNJAB,18.97
"CHANDRAMOHAN N D","All India Anna Dravida Munnetra Kazhagam",PERAMBALUR,"TAMIL NADU",18.96
"G PREMKUMAR","All India Anna Dravida Munnetra Kazhagam",SRIPERUMBUDUR,"TAMIL NADU",18.85
"MOHAMMED BADRUDDIN AJMAL","All India United Democratic Front",DHUBRI,ASSAM,18.72
"SIVANESAN P","Desiya Murpokku Dravida Kazhagam",THANJAVUR,"TAMIL NADU",17.76
"R. MANOHAR","All India Anna Dravida Munnetra Kazhagam","CHENNAI NORTH","TAMIL NADU",17.52
"SAIDI REDDY SHANAMPUDI","Bharatiya Janata Party",NALGONDA,TELANGANA,17.31
"Balaganapathy V. Pon","Bharatiya Janata Party",TIRUVALLUR,"TAMIL NADU",15.86
"SIVASAMY VELUMANI R","All India Anna Dravida Munnetra Kazhagam",THOOTHUKKUDI,"TAMIL NADU",15.12
NOTA,"None of the Above",INDORE,"MADHYA PRADESH",14
