PARTY,TOTAL_COST,PARTY_VOTES,COST_PER_VOTE
"Bhartiya Lokvani Party",9500000,1956,4856.8507
"Rashtriya Manav Party",19000000,3905,4865.5570
"Bhartiya Lok Chetna Party",28500000,5852,4870.1299
"Sankhyanupati Bhagidari Party",9500000,1949,4874.2945
"Janta Shashan Party",9500000,1942,4891.8641
"Bhartiya Jan Adhikar Party",9500000,1940,4896.9072
"Humanity for Peace Party",9500000,1935,4909.5607
"Madhya Pradesh Jan Vikas Party",9500000,1932,4917.1843
"Gondwana Dandkaranya Party",19000000,3857,4926.1084
"Uttarakhand Samanta Party",19000000,3845,4941.4824
"Jai Swaraj Party",38000000,7684,4945.3410
"Bhartiya Krishak Dal",28500000,5723,4979.9056
"Mang Samaj Party",9500000,1905,4986.8766
"Bharatheeya Jawan Kisan Party",389500000,78104,4986.9405
"Samajwadi Lok Parishad",9500000,1880,5053.1915
"Bhartiya Asmita Party",9500000,1874,5069.3703
"Kamatapur People’s Party (United)",57000000,11206,5086.5608
"Kannada Chalavali Vatal Paksha",9500000,1867,5088.3771
"Desh Janhit Party",104500000,20498,5098.0583
"The Agrani Party",9500000,1843,5154.6392
"Karnataka Rashtra Samithi",266000000,51529,5162.1417
"Bhartiya Jan Nayak Party",9500000,1838,5168.6616
"Asankhya Samaj Party",19000000,3672,5174.2919
"Vidarbha Rajya Aghadi",9500000,1828,5196.9365
"Sanyukt Bharat Paksh",19000000,3656,5196.9365
"Rashtra Nirman Party",57000000,10964,5198.8325
"Anti Corruption Dynamic Party",47500000,9128,5203.7686
"Adarsh Jankalyan Dal",9500000,1817,5228.3985
"Rashtriya Hind Ekta Dal",9500000,1806,5260.2436
"Makkal Nalvaazhvuk Katchi",9500000,1792,5301.3393
"Prajavani  Party",9500000,1792,5301.3393
"Mulnibasi Party of India",76000000,14168,5364.2010
"National Party",9500000,1767,5376.3441
"All India Youth Development Party",19000000,3528,5385.4875
"Right to Recall Party",313500000,58024,5402.9367
"Naari Nar Rakshak Party",19000000,3501,5427.0209
"Samyak Party",28500000,5250,5428.5714
"People Protection Party",9500000,1737,5469.1998
"Kosal Janata Dal",9500000,1735,5475.5043
"Bhartiya Navjawan Sena (Paksha)",28500000,5183,5498.7459
"Telangana Rajya Samithi",9500000,1727,5500.8686
"Akhand Bharat Janpriya Party",9500000,1716,5536.1305
"Aim Political Party",9500000,1715,5539.3586
"Bharatiya Bikash Parishad",19000000,3430,5539.3586
"Prabuddhwadi Bahujan Morcha",19000000,3417,5560.4331
"Sunder Samaj Party",19000000,3409,5573.4820
"Bharatiya Ekta Dal",9500000,1704,5575.1174
"Kamgaar Kisan Party",9500000,1701,5584.9500
"Ahinsa Samaj Party",9500000,1698,5594.8174
"Peoples Party of India(secular)",19000000,3392,5601.4151
"Democratic Bharatiya Samaj Party",47500000,8472,5606.7044
"India Praja Bandhu Party",95000000,16942,5607.3663
"Bhim Sena",142500000,25346,5622.1889
"Jan Raajya Party",19000000,3376,5627.9621
"Bhartiya Janta Secular Party",9500000,1685,5637.9822
"Rashtra Dharak Dal",9500000,1683,5644.6821
"Paschimanchal Vikas Party",9500000,1682,5648.0380
"Yuva Vikas Party",9500000,1679,5658.1298
"Bharat Jan Aadhar Party",9500000,1675,5671.6418
"Aravor Munnetra Kazhagam",47500000,8345,5692.0312
Nyaydharmsabha,38000000,6607,5751.4757
"Bahujan Republican  Socialist Party",171000000,29619,5773.3212
"Punjab National Party",28500000,4934,5776.2465
"Rashtriya Janmorcha",9500000,1639,5796.2172
"Anna YSR Congress Party",66500000,11459,5803.2987
"Samajwadi Jan Parishad",9500000,1637,5803.2987
"Majloom Samaj Party",19000000,3237,5869.6324
"Atulya Bharat Party",9500000,1617,5875.0773
"Hamara Sahara Party",9500000,1614,5885.9975
"Prajarajya Samithi",9500000,1614,5885.9975
"Jai Bharat National Party",133000000,22466,5920.0570
"Abhinav Bharat Janseva Paksh",9500000,1602,5930.0874
"Puthiya Makkal Tamil Desam Katchi",28500000,4768,5977.3490
"Rashtriya Mahaswaraj Bhumi Party",28500000,4764,5982.3678
"Adim Bhartiya Dal",9500000,1584,5997.4747
"Republican Bahujan Sena",19000000,3161,6010.7561
"Janta Samajwadi Party (Vivek Raj)",9500000,1574,6035.5781
"Hindvi Swarajyay Dal",9500000,1573,6039.4151
"Indian Unity Centre",9500000,1572,6043.2570
"United Republican Party of India",66500000,10997,6047.1038
"Chhattisgarh Vikas Ganga Rashtriya Party",38000000,6227,6102.4570
"Bhartiya Party",9500000,1549,6132.9890
"Global Republican Party",47500000,7734,6141.7119
"Janseva Gondwana Party",28500000,4617,6172.8395
"Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam",19000000,3078,6172.8395
"Bharatiya Lokshakti Party",9500000,1537,6180.8718
"Socialist Party (India)",123500000,19940,6193.5807
"Bahujan Dravida Party",133000000,21388,6218.4402
"Rashtriya Narayanwadi Vikas Party",9500000,1527,6221.3491
"Jan Sewa Driver Party",57000000,9135,6239.7373
"Bharat Jodo Party",38000000,6045,6286.1869
"Bhumiputra United Party",19000000,3018,6295.5600
"Bhartiya Azad Sena",19000000,3018,6295.5600
"Aapki Apni Party (Peoples)",38000000,6033,6298.6905
"Lok Swarajya Party",19000000,2992,6350.2674
"Rashtriya Janshakti Samaj Party",19000000,2988,6358.7684
"Rashtriya Sanskriti Party",9500000,1494,6358.7684
"Public Adhikar Socialist Indian Party",9500000,1493,6363.0275
"Mahathma Makkal Munnetra Kazhakam",19000000,2981,6373.7001
"Bhartiya Uday Nirman Party",9500000,1483,6405.9339
"Aam Janshakti Party",9500000,1478,6427.6049
"Janlok Vikas Party",9500000,1473,6449.4229
"Bharatiya Bahujan Samta Party",9500000,1459,6511.3091
"Indian National Socialistic Action Forces",38000000,5781,6573.2572
"AARAKSHAN VIRODHI PARTY",9500000,1444,6578.9474
"Supreme Zero Party of Bharat",9500000,1441,6592.6440
"Vishal Janta Party",9500000,1421,6685.4328
"Social Justice Party of India",57000000,8519,6690.9262
"Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi",85500000,12735,6713.7809
"Republican Party of India (Social)",19000000,2818,6742.3705
"Swayam Shashan Party",9500000,1408,6747.1591
"Azad Samaj Party",19000000,2791,6807.5958
"Karunada Sevakara Party",28500000,4175,6826.3473
"Adarsh Janta Party",9500000,1376,6904.0698
"All India Mazdoor Party (Rangreta)",9500000,1374,6914.1194
"Bharatiya Praja Surajya Paksha",19000000,2737,6941.9072
"Hindustan Janta Party Secular",9500000,1366,6954.6120
"Prithviraj Janshakti Party",9500000,1364,6964.8094
"Jai Hind National Party",38000000,5451,6971.1979
"Swaraj Bhartiya Nyay Party",28500000,4088,6971.6243
"Bhartiya Garib Vikas Kalyan Party",9500000,1347,7052.7097
"Bhartiya Jan Parishad",28500000,4020,7089.5522
"Subhashwadi Bhartiya Samajwadi Party (Subhas Party)",47500000,6699,7090.6105
"Rashtriya Janmanch (Secular)",9500000,1333,7126.7817
"Gorkha Rashtriya Congress",9500000,1331,7137.4906
"Garib Kalyan Party",28500000,3979,7162.6037
"Hindustan Janta Party",57000000,7914,7202.4261
"Rashtriya Janta Party",9500000,1319,7202.4261
"Janshakti Janta Dal",9500000,1318,7207.8907
"Lok Samaj Party",9500000,1294,7341.5765
"Sardar Vallabhbhai Patel Party",38000000,5152,7375.7764
"Bharatiya Majdoor Janta Party",19000000,2566,7404.5207
"Rashtriya Garib Dal",38000000,5105,7443.6827
"Rashtriya Vikalp Party",9500000,1269,7486.2096
"Swarajya Sena (Maharashtra)",19000000,2533,7500.9870
"Rajasthan Raj Party",9500000,1264,7515.8228
"Jaibhim Rao Bharat Party",114000000,15165,7517.3096
"Insaniyat Party",28500000,3790,7519.7889
"Akhil Bharatiya Hind Kranti Party",9500000,1259,7545.6712
"All India Ulama Congress",19000000,2500,7600.0000
"Desiya Makkal Sakthi Katchi",85500000,11211,7626.4383
"Rashtriya Vikas Party",9500000,1240,7661.2903
"Indian Believers Party (IBP)",9500000,1239,7667.4738
"Jay Vidarbha Party",38000000,4951,7675.2171
"Pehchan People’s Party",9500000,1228,7736.1564
"Odisha Janata Party",19000000,2442,7780.5078
"Prajatantra Aadhar Party",19000000,2429,7822.1490
"Bhartiya Manavta Party",19000000,2426,7831.8219
"Rashtriya Samaj Dal (R)",85500000,10877,7860.6233
"Bangali Nabanirman Sena",19000000,2410,7883.8174
"Sarvar Party",9500000,1202,7903.4942
"National Future Party",9500000,1197,7936.5079
"Megh Desham Party",9500000,1194,7956.4489
"Nationalist Justice Party",66500000,8357,7957.4010
"National Janmandal Party",9500000,1193,7963.1182
"Sajag Samaj Party",9500000,1191,7976.4903
"Awami Samta Party",9500000,1190,7983.1933
"Sarva Samaj Janata Party",19000000,2379,7986.5490
"Vishva Shakti Party",19000000,2361,8047.4375
"Kamera Samaj Party",9500000,1177,8071.3679
"Adarshwaadi Congress Party",9500000,1173,8098.8917
"Dalit Soshit Pichhara Varg  Adhikar Dal",19000000,2342,8112.7242
"Tamil Manila Murpokku Dravida Kazhagam",19000000,2315,8207.3434
"Rashtriya Janutthan Party",9500000,1157,8210.8902
"Rashtriya Sawarn Dal",19000000,2293,8286.0881
"Utkal Samaj",19000000,2285,8315.0985
"Akhil Bharat Hindu Mahasabha",19000000,2278,8340.6497
"Tipu Sultan Party",38000000,4547,8357.1586
"Rashtriya Secular Majlis Party",9500000,1136,8362.6761
"New Generation People’s Party",9500000,1133,8384.8191
"Sanyogwadi Party",9500000,1128,8421.9858
"Hindustan Shakti Sena",47500000,5625,8444.4444
"Aanaithinthiya Jananayaka Pathukappu Kazhagam",19000000,2244,8467.0232
"Karunaadu Party",38000000,4481,8480.2499
"Jan Sewak Kranti Party",9500000,1120,8482.1429
"Rastriya Atal Janta Party",9500000,1116,8512.5448
"Jaathia Chethi Vruthula Ikya Vedika Party",47500000,5568,8530.8908
"Liberation Congress Party",76000000,8900,8539.3258
"Ganasangam Party of India",66500000,7776,8551.9547
"Aadim Samaj Party",9500000,1100,8636.3636
"Chennai Youth Party",19000000,2195,8656.0364
"All India Majlis-E-Inquilab-E-Millat",47500000,5454,8709.2043
"Rashtriya Janhit Sangharsh Party",9500000,1090,8715.5963
"Dr. Bhimrao Ambedkar Dal",9500000,1078,8812.6160
"Manav Kranti Party",9500000,1076,8828.9963
"Pyramid Party of India",247000000,27966,8832.1533
"Naadaalum Makkal Katchi",114000000,12895,8840.6359
"Vidiyalai Thedum Indhiyargal Party",9500000,1073,8853.6813
"Proutist Sarva Samaj",9500000,1069,8886.8101
"Rashtra Samarpan Party",28500000,3205,8892.3557
"Aam Aadmi Parivartan Party",19000000,2128,8928.5714
"Samaj Vikas Kranti Party",57000000,6373,8943.9824
"Lokrajya Janata Party",9500000,1061,8953.8172
"Akhil Bharatiya Manavata Paksha",9500000,1057,8987.7010
"National Maha Sabha Party",38000000,4184,9082.2180
"Shiromani Lok Dal Party",9500000,1044,9099.6169
"Loktantrik Lok Rajyam Party",38000000,4169,9114.8957
"Apna Samaj Party",19000000,2083,9121.4594
"Punnagai Desam Party",9500000,1040,9134.6154
"Apni Prajahit Party",38000000,4109,9247.9922
"Netaji Subhash Chander Bose Rashtriya Azad Party",9500000,1019,9322.8656
"Samaniya Makkal Nala Katchi",85500000,8990,9510.5673
"National Black Panther Party",19000000,1994,9528.5858
"Rashtriya Sant Sandesh Party",9500000,994,9557.3441
"Rashtriya Maratha Party",28500000,2978,9570.1813
"Kranti Kari Jai Hind Sena",28500000,2976,9576.6129
"Sehajdhari Sikh Party",9500000,987,9625.1266
"Rashtriya Jansena Party",9500000,983,9664.2930
"India Manus Party",9500000,982,9674.1344
"Karnataka Praja Party (RaithaParva)",9500000,978,9713.7014
"Saman Adhikar Party",19000000,1943,9778.6927
"Navabharath Sena",28500000,2898,9834.3685
"Rashtriya Republican Party",47500000,4801,9893.7721
"Mission All India Independent Justice Party",9500000,960,9895.8333
"Janta Darbar Party",9500000,956,9937.2385
"Buland Bharat Party",9500000,955,9947.6440
"Pichhara Samaj Party United",9500000,952,9978.9916
"Tamilar Makkal Katchi",19000000,1904,9978.9916
"Welfare Party Of India",9500000,951,9989.4848
"All India Uzhavargal Uzhaippalargal Katchi",9500000,950,10000.0000
"Vidhyarthula Rajakiya Party",47500000,4747,10006.3198
"Bharatiya Jan Morcha Party",9500000,945,10052.9101
"Aman Samaj Party",9500000,945,10052.9101
"Bheem Tribal Congress",66500000,6603,10071.1798
"Bhartiya Rashtriya Jansatta",9500000,941,10095.6429
"Bahujan Kranti Party (Marxwad-Ambedkarwad)",9500000,940,10106.3830
"Janta Raj Vikas Party",9500000,939,10117.1459
"Anaithu India Makkal Katchi",9500000,937,10138.7407
"Janta Kranti Party",9500000,936,10149.5726
"Samaj Bhalai Morcha",9500000,930,10215.0538
"Country Citizen Party",38000000,3712,10237.0690
"Anna MGR Dravida Makkal Kalgam",47500000,4629,10261.3955
"Akhil Bhartiya Kisan Majdoor Party",9500000,924,10281.3853
"Himachal Janta Party",19000000,1825,10410.9589
"Swaraj Kranti Party",9500000,909,10451.0451
"Blue India Party",19000000,1803,10537.9922
"Democratic Socialist Party of India",9500000,885,10734.4633
"Aadarsh Sangram Party",9500000,865,10982.6590
"Ambedkarist Republican Party",19000000,1727,11001.7371
"Bharatiya Asha Party",47500000,4300,11046.5116
"Uttar Pradesh Republican Party",9500000,854,11124.1218
"Digvijaya Bharatha Party",9500000,850,11176.4706
"Republican Party of India Bharatha",9500000,848,11202.8302
"Jan Shakti Ekta Party",9500000,847,11216.0567
"Jindabad Kranti Party",19000000,1690,11242.6036
"Parivartan Party of India",19000000,1686,11269.2764
"Public Political Party",57000000,5054,11278.1955
"Satya Bahumat Party",9500000,842,11282.6603
"Bhartiya Sabka Dal",9500000,841,11296.0761
"Jana Sahayaka Sakthi",19000000,1644,11557.1776
"Akhil Bharatiya Muslim League (Secular)",9500000,821,11571.2546
"Rashtriya Lokswaraj Party",19000000,1641,11578.3059
"New Labour Party",9500000,819,11599.5116
"Akhil Bhartiya Aamjan Party",9500000,818,11613.6919
"Kunbi Bahujan Sawrajya Party",9500000,817,11627.9070
"Sanjhi Virasat Party",19000000,1610,11801.2422
"Pachchasi Parivartan Samaj Party",9500000,802,11845.3865
"Republican Party of India",38000000,3204,11860.1748
"Jana Shankhaaraavam Party",9500000,797,11919.6989
"India Greens Party",28500000,2387,11939.6732
"Rashtriy Bahujan Party",9500000,795,11949.6855
"Lokshahi Ekta Party",19000000,1585,11987.3817
"Rashtriya Mazdoor Ekta Party",9500000,791,12010.1138
"Chhatrapati Shivaji Bhartiya Garib Party",9500000,790,12025.3165
"Nam India Naam Indiyar Katchi",9500000,790,12025.3165
"Telugu Congress Party",9500000,790,12025.3165
"Lokpriya Rashtrawadi Party",9500000,782,12148.3376
"Anjaan Aadmi Party",9500000,781,12163.8924
"Akhand Bharat Swatantra Party",9500000,780,12179.4872
"Bharatiya Liberal Party",19000000,1552,12242.2680
"Mission Naya Digant Party",9500000,772,12305.6995
"Bhrashtachar Mukti Morcha",9500000,766,12402.0888
"Rashtriya Jan Karmath Party",9500000,764,12434.5550
"Tamilaga Makkal Nala Katchi",9500000,761,12483.5742
"Bhartiya Mahasangh Party",9500000,758,12532.9815
"Aadi Bharat Party",9500000,742,12803.2345
"Jamat-E-Seratul Mustakim",9500000,741,12820.5128
"Rashtra Samanya Praja Party",19000000,1474,12890.0950
"Makkal Nala Kazhagam",9500000,736,12907.6087
"Bharatiya Lokvikas Party",9500000,723,13139.6957
"Jai Hindustan Party",9500000,711,13361.4627
"All India People Development Party",9500000,711,13361.4627
"BhartiyaBahujanKranti Dal",9500000,709,13399.1537
"Samrat Mihir Bhoj Samaj Party",19000000,1412,13456.0907
"Bharatiya Prajagala Kalyana Paksha",38000000,2816,13494.3182
"Marxist Communist Party of India (United)",47500000,3505,13552.0685
"Aam Lok Party United",9500000,695,13669.0647
"Ambedkar National Congress",9500000,688,13808.1395
"Rashtriya Congress(J) Party",9500000,685,13868.6131
"Yuva Taram Party",19000000,1369,13878.7436
"Bharat Peoples Sena",9500000,683,13909.2240
"Republican Party of India (Karnataka)",28500000,2018,14122.8940
"Sakala Janula Party",19000000,1324,14350.4532
"Satyawadi Rakshak Party",9500000,657,14459.6651
"National Republic Party Of India",9500000,657,14459.6651
"Sacho Sach Party",9500000,652,14570.5521
"Youth India Peace Party",9500000,649,14637.9045
"Ulzaipali Makkal Katchy",28500000,1929,14774.4946
"Adarsh Samaj Party",9500000,643,14774.4946
"Rashtravadi Loktantrik Party (India)",9500000,641,14820.5928
"Praja Prasthanam Party",9500000,633,15007.8989
"All India Jananayaka Makkal Kazhagam",9500000,633,15007.8989
"Bahujana Left Party",19000000,1265,15019.7628
"Thakkam Katchi",57000000,3785,15059.4452
"Bharatiya Sampuran Krantikari Party",28500000,1880,15159.5745
"Praja Ektha Party",19000000,1252,15175.7188
"Manav Samadhan Party",9500000,622,15273.3119
"Challengers Party",19000000,1243,15285.5994
"Rashtriya Rashtrawadi Party",9500000,614,15472.3127
"Bharatiya Inqalab Party",9500000,610,15573.7705
"Gareeb Aadmi Party",38000000,2425,15670.1031
"Mera Bharat Mahan Party",9500000,604,15728.4768
"Kisan Vishwa Party",9500000,603,15754.5605
"Voters Independent Party",9500000,601,15806.9884
"Aawami Pichhada Party",9500000,594,15993.2660
"Bahujan National Party (Ambedkar)",9500000,586,16211.6041
"Guruchand Sena Dal",9500000,583,16295.0257
"Samajwadi Janata Party(Karnataka)",38000000,2320,16379.3103
"All India Kisan Janatha party",9500000,578,16435.9862
"Kranti Janshakti Party",9500000,575,16521.7391
"Rashtriya Suraksha Party",9500000,574,16550.5226
"Janahitha Paksha",19000000,1130,16814.1593
"Indian Movement Party",19000000,1117,17009.8478
"Telangana Jaghir Party",28500000,1648,17293.6893
"Loktantrik Janshakti Party",38000000,2191,17343.6787
"Dalit Kranti Dal",9500000,547,17367.4589
"Navsarjan Bharat Party",9500000,545,17431.1927
"Akhil Bhartiya Aarakshit Samaj Party",9500000,544,17463.2353
"Aap Sabki Apni Party",9500000,528,17992.4242
"Vikas India Party",19000000,1054,18026.5655
"Raita Bharat Party",9500000,518,18339.7683
"All India Mahila Empowerment Party",9500000,515,18446.6019
"Corruption Abolition Party",9500000,501,18962.0758
"All Peoples Party",28500000,1495,19063.5452
"Tamizhaga Murpokku Makkal Katchi",28500000,1488,19153.2258
"Bhartiya Panchyat Party",9500000,494,19230.7692
"Secular Democratic Congress",9500000,490,19387.7551
"Telangana Republican Party",28500000,1452,19628.0992
"Kannada  Paksha",9500000,477,19916.1426
"Hamara Sahi Vikalp Party",9500000,476,19957.9832
"Bhartiya Veer Dal",9500000,470,20212.7660
"Super Power India Party",28500000,1400,20357.1429
"Bengaluru Nava Nirmana Party",9500000,461,20607.3753
"Radical Party of India (Ambedkarist)",9500000,454,20925.1101
"Desh Prem Party",9500000,454,20925.1101
"Sarvlokhit Samaj Party",9500000,446,21300.4484
"Bharatiya Jan Jagriti Party",19000000,879,21615.4721
"Dhoom Sena",9500000,434,21889.4009
"Indian Labour Party (Ambedkar Phule)",38000000,1729,21978.0220
"Neethi Nijayithi Party",9500000,430,22093.0233
"Indian National Yuva Jana Party",19000000,847,22432.1133
"Maa Telangana Party",9500000,423,22458.6288
"Samajik Sangharsh Party",9500000,419,22673.0310
"Navodayam Party",9500000,414,22946.8599
"Young Star Empowerment Party",38000000,1616,23514.8515
"Bharatiya Mulnivasi Aazad Party",9500000,396,23989.8990
"All India National Raksha Sena",9500000,396,23989.8990
"Bhartiya Jan Vikas Aaghadi",9500000,391,24296.6752
"Rani Chennamma Party",19000000,771,24643.3204
"Bahujan Shoshit Samaj Sangharsh Samta Party",9500000,373,25469.1689
"Andhra Pradesh Rashtra Samithi",9500000,358,26536.3128
"Akhil Bhartiya Sudhar Party",9500000,321,29595.0156
"Loktantrik Janta Dal",9500000,316,30063.2911
"Karnataka Karmikara Paksha",9500000,314,30254.7771
"Tamilnadu Makkal Nalvazhvu Periyakkam",9500000,314,30254.7771
"Bharatrashtra Democratic Party",9500000,310,30645.1613
"All India Jaihind Party",9500000,269,35315.9851
"Bharat Lok Sewak Party",9500000,262,36259.5420
"Republican Party of India  (Sivaraj)",9500000,259,36679.5367
"Rashtriya Mangalam Party",9500000,257,36964.9805
"Rashtriya Jatigat Aarakshan Virodhi Party",9500000,215,44186.0465
"All India Backward People Sunami Party",9500000,210,45238.0952
"Indian Praja Congress",9500000,141,67375.8865
"Telangana Prajaa Jeevana Rythu Party",9500000,141,67375.8865
