STATE,PARTY,NO_OF_CANDIDATES
HARYANA,Independent,464
HARYANA,"Indian National Congress",89
HARYANA,"Bharatiya Janata Party",89
HARYANA,"Aam Aadmi Party",88
HARYANA,"Jannayak Janta Party",66
HARYANA,"Indian National Lok Dal",51
HARYANA,"Bahujan Samaj Party",35
HARYANA,"Aazad Samaj Party (Kanshi Ram)",12
HARYANA,"Peoples Party of India (Democratic)",12
HARYANA,"Bhartiya Shakti Chetna Party",11
HARYANA,"Socialist Unity Centre Of India (COMMUNIST)",8
HARYANA,"Rashtrawadi Janlok Party (Satya)",7
HARYANA,"Jan Sewak Kranti Party",6
HARYANA,"Yuga Thulasi Party",5
HARYANA,"Mission Ekta Party",5
HARYANA,"Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann)",5
HARYANA,"Aam Aadmi Parivartan Party",5
HARYANA,"Right to Recall Party",4
HARYANA,"Rashtriya Garib Dal",4
HARYANA,"Republican Party of India (A)",4
HARYANA,"Buland Bharat Party",4
HARYANA,"Haryana Lokhit Party",4
HARYANA,"Bhartiya Kisan Party",3
HARYANA,"Haryana Jan Sevak Party",3
HARYANA,"Loktanter Suraksha Party",3
HARYANA,"Samata Party",3
HARYANA,"Indian Praja Congress",2
HARYANA,"Liberal Socialist Party",2
HARYANA,"Communist Party of India",2
HARYANA,"Bharatiya Asha Party",2
HARYANA,"Rashtriya Lokswaraj Party",2
HARYANA,"Akhil Bhartiya Kisan Majdoor Party",2
HARYANA,"Bhartiya Veer Dal",1
HARYANA,"Bhartiya Panchyat Party",1
HARYANA,"Ambedkar Samaj Vikas Party",1
HARYANA,"Bhartiya Sarvodaya Party",1
HARYANA,"Sanyukt Sangharsh Party",1
HARYANA,"Nationalist Congress Party â€“ Sharadchandra Pawar",1
HARYANA,"Rashtriya Mazdoor Ekta Party",1
HARYANA,"Rashtriya Majdoor Vikas Party",1
HARYANA,"Rashtra Nirman Party",1
HARYANA,"Rashtriya Jatigat Aarakshan Virodhi Party",1
HARYANA,"Aam Janshakti Party",1
HARYANA,"Sarva Jan Smaj Party (Nand Kishore Chawla)",1
HARYANA,"Rashtravadi Bharat Party",1
HARYANA,"Communist Party of India  (Marxist)",1
HARYANA,"Rashtriya Bhagidari Samaj Party",1
HARYANA,"Bahujan Mukti Party",1
HARYANA,"Rashtriya Janhit Vikas Party",1
HARYANA,"Nationalist Congress Party",1
HARYANA,"Veer Lakshya Party",1
HARYANA,"Bhartiya Janraj Party",1
HARYANA,"Republican Party of India",1
HARYANA,"Nehru Janhit Congress",1
HARYANA,"Bharat Jodo Party",1
HARYANA,"Bharat Jan Jagran Dal",1
HARYANA,"Bahujan Janata Dal (Khodawal)",1
HARYANA,"Akhil Bharatiya Socialist Party",1
HARYANA,"Political Team India",1
HARYANA,"Akhil Bhartiya Manavatavadi Party",1
HARYANA,"Kisan Mazdoor Sangharsh Party",1
